Term,NumPostings
SQL,78.9473684211
R,78.9473684211
Python,63.1578947368
Hadoop,52.6315789474
SAS,52.6315789474
Java,47.3684210526
Hive,47.3684210526
MapReduce,36.8421052632
NoSQL,26.3157894737
Pig,26.3157894737
Matlab,26.3157894737
Tableau,21.0526315789
Cassandra,21.0526315789
Excel,21.0526315789
Ruby,15.7894736842
C++,15.7894736842
SPSS,15.7894736842
Perl,15.7894736842
Scala,10.5263157895
Spark,10.5263157895
Flume,5.26315789474
Mahout,5.26315789474
HBase,5.26315789474
Shark,5.26315789474
MongoDB,5.26315789474
