Term,NumPostings
Java,64.5161290323
Python,54.8387096774
MapReduce,41.935483871
R,41.935483871
Hadoop,35.4838709677
Ruby,25.8064516129
Perl,22.5806451613
Pig,19.3548387097
Matlab,19.3548387097
NoSQL,16.1290322581
SQL,16.1290322581
HBase,16.1290322581
Cassandra,16.1290322581
SAS,16.1290322581
Mahout,16.1290322581
SPSS,12.9032258065
Hive,12.9032258065
Spark,12.9032258065
C++,9.67741935484
MongoDB,9.67741935484
Excel,9.67741935484
Scala,9.67741935484
D3.js,3.22580645161
JavaScript,3.22580645161
D3,3.22580645161
