Term,NumPostings
Python,52.1008403361
R,48.7394957983
SQL,40.3361344538
Java,25.2100840336
JavaScript,21.8487394958
SAS,21.0084033613
Spark,21.0084033613
Hadoop,19.3277310924
Hive,15.1260504202
Scala,14.2857142857
SPSS,10.0840336134
NoSQL,9.24369747899
Tableau,8.40336134454
C++,8.40336134454
Excel,8.40336134454
Matlab,6.72268907563
MapReduce,5.04201680672
Perl,4.20168067227
MongoDB,4.20168067227
Cassandra,4.20168067227
Ruby,2.52100840336
D3.js,1.68067226891
Pig,1.68067226891
D3,1.68067226891
Flume,0.840336134454
Mahout,0.840336134454
