Term,NumPostings
SQL,51.1111111111
Hadoop,46.6666666667
Java,42.2222222222
Python,40.0
NoSQL,33.3333333333
Hive,33.3333333333
Spark,33.3333333333
Pig,31.1111111111
HBase,26.6666666667
R,26.6666666667
JavaScript,22.2222222222
MapReduce,20.0
Ruby,20.0
Cassandra,20.0
MongoDB,17.7777777778
Flume,15.5555555556
Matlab,15.5555555556
Scala,15.5555555556
Excel,13.3333333333
Perl,11.1111111111
Tableau,11.1111111111
SPSS,6.66666666667
SAS,6.66666666667
Oozie,4.44444444444
C++,2.22222222222
Mahout,2.22222222222
Shark,2.22222222222
