Term,NumPostings
SQL,46.8085106383
Hadoop,38.2978723404
Java,29.7872340426
Hive,23.4042553191
Spark,21.2765957447
NoSQL,19.1489361702
Pig,17.0212765957
HBase,17.0212765957
Python,17.0212765957
Tableau,14.8936170213
Flume,12.7659574468
C++,10.6382978723
R,10.6382978723
Cassandra,10.6382978723
JavaScript,10.6382978723
MapReduce,6.3829787234
Scala,6.3829787234
SAS,4.25531914894
Oozie,4.25531914894
Mahout,4.25531914894
Excel,4.25531914894
MongoDB,4.25531914894
ZooKeeper,2.12765957447
Shark,2.12765957447
Ruby,2.12765957447
