Term,NumPostings
SQL,70.9677419355
R,70.9677419355
Python,61.2903225806
SAS,48.3870967742
Hadoop,48.3870967742
Hive,45.1612903226
Java,41.935483871
MapReduce,32.2580645161
NoSQL,29.0322580645
Tableau,25.8064516129
Pig,22.5806451613
Cassandra,22.5806451613
SPSS,22.5806451613
Matlab,22.5806451613
C++,19.3548387097
Excel,19.3548387097
Scala,19.3548387097
Perl,12.9032258065
Ruby,9.67741935484
Spark,9.67741935484
HBase,6.45161290323
Shark,6.45161290323
Flume,3.22580645161
Mahout,3.22580645161
MongoDB,3.22580645161
