Term,NumPostings
SQL,53.9130434783
Java,31.3043478261
Hadoop,26.0869565217
Python,20.0
NoSQL,19.1304347826
Hive,17.3913043478
Spark,15.652173913
Tableau,14.7826086957
HBase,14.7826086957
Pig,13.0434782609
R,12.1739130435
Cassandra,11.3043478261
SAS,7.82608695652
MongoDB,6.95652173913
Excel,6.95652173913
Flume,6.08695652174
Perl,6.08695652174
Scala,6.08695652174
JavaScript,5.21739130435
MapReduce,5.21739130435
Mahout,5.21739130435
Ruby,5.21739130435
ZooKeeper,4.34782608696
C++,4.34782608696
Oozie,3.47826086957
Matlab,0.869565217391
SPSS,0.869565217391
D3,0.869565217391
