Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,40.7407407407,44.1176470588,45.4545454545,50,Anaheim,CA
Excel,37.037037037,11.7647058824,4.54545454545,50,Anaheim,CA
R,14.0740740741,32.3529411765,4.54545454545,14.2857142857,Anaheim,CA
SAS,12.5925925926,32.3529411765,0,21.4285714286,Anaheim,CA
Tableau,6.66666666667,14.7058823529,9.09090909091,0,Anaheim,CA
SPSS,6.66666666667,8.82352941176,0,0,Anaheim,CA
JavaScript,5.18518518519,5.88235294118,0,7.14285714286,Anaheim,CA
Python,4.44444444444,38.2352941176,13.6363636364,50,Anaheim,CA
Matlab,3.7037037037,20.5882352941,0,7.14285714286,Anaheim,CA
Java,2.96296296296,29.4117647059,13.6363636364,28.5714285714,Anaheim,CA
Hadoop,2.22222222222,41.1764705882,27.2727272727,50,Anaheim,CA
Hive,1.48148148148,23.5294117647,0,42.8571428571,Anaheim,CA
Perl,0.740740740741,8.82352941176,0,21.4285714286,Anaheim,CA
Pig,0,23.5294117647,0,14.2857142857,Anaheim,CA
Spark,0,14.7058823529,9.09090909091,42.8571428571,Anaheim,CA
Ruby,0,11.7647058824,0,14.2857142857,Anaheim,CA
Scala,0,8.82352941176,0,0,Anaheim,CA
MapReduce,0,8.82352941176,0,21.4285714286,Anaheim,CA
Cassandra,0,5.88235294118,18.1818181818,28.5714285714,Anaheim,CA
Mahout,0,5.88235294118,0,0,Anaheim,CA
NoSQL,0,2.94117647059,27.2727272727,0,Anaheim,CA
Flume,0,2.94117647059,0,0,Anaheim,CA
D3,0,2.94117647059,0,7.14285714286,Anaheim,CA
C++,0,2.94117647059,0,7.14285714286,Anaheim,CA
MongoDB,0,0,9.09090909091,7.14285714286,Anaheim,CA
HBase,0,0,0,28.5714285714,Anaheim,CA
Shark,0,0,0,14.2857142857,Anaheim,CA
