Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,44.9152542373,78.9473684211,23.0769230769,0,Arlington,TX
Excel,38.9830508475,21.0526315789,3.84615384615,33.3333333333,Arlington,TX
SAS,20.3389830508,52.6315789474,3.84615384615,0,Arlington,TX
R,14.406779661,78.9473684211,23.0769230769,0,Arlington,TX
Python,12.7118644068,63.1578947368,7.69230769231,0,Arlington,TX
Hadoop,12.7118644068,52.6315789474,42.3076923077,33.3333333333,Arlington,TX
Tableau,10.1694915254,21.0526315789,3.84615384615,0,Arlington,TX
Java,8.47457627119,47.3684210526,30.7692307692,33.3333333333,Arlington,TX
JavaScript,7.62711864407,0,3.84615384615,0,Arlington,TX
Hive,6.77966101695,47.3684210526,0,33.3333333333,Arlington,TX
Pig,5.93220338983,26.3157894737,0,33.3333333333,Arlington,TX
Spark,5.08474576271,10.5263157895,15.3846153846,33.3333333333,Arlington,TX
MongoDB,2.54237288136,5.26315789474,11.5384615385,0,Arlington,TX
SPSS,2.54237288136,15.7894736842,3.84615384615,0,Arlington,TX
NoSQL,1.69491525424,26.3157894737,11.5384615385,0,Arlington,TX
Ruby,0.847457627119,15.7894736842,0,0,Arlington,TX
D3.js,0.847457627119,0,0,0,Arlington,TX
Matlab,0.847457627119,26.3157894737,0,0,Arlington,TX
MapReduce,0.847457627119,36.8421052632,0,33.3333333333,Arlington,TX
Cassandra,0.847457627119,21.0526315789,11.5384615385,33.3333333333,Arlington,TX
C++,0,15.7894736842,3.84615384615,0,Arlington,TX
Perl,0,15.7894736842,0,0,Arlington,TX
Scala,0,10.5263157895,0,0,Arlington,TX
Flume,0,5.26315789474,0,0,Arlington,TX
Mahout,0,5.26315789474,0,0,Arlington,TX
HBase,0,5.26315789474,7.69230769231,33.3333333333,Arlington,TX
Shark,0,5.26315789474,0,33.3333333333,Arlington,TX
