Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,35.2517985612,29.7297297297,71.4285714286,40,Atlanta,GA
Excel,28.7769784173,18.9189189189,3.57142857143,26.6666666667,Atlanta,GA
Tableau,15.1079136691,5.40540540541,7.14285714286,13.3333333333,Atlanta,GA
SAS,8.63309352518,35.1351351351,3.57142857143,0,Atlanta,GA
Java,7.19424460432,37.8378378378,17.8571428571,53.3333333333,Atlanta,GA
Hadoop,5.75539568345,37.8378378378,3.57142857143,60,Atlanta,GA
Python,5.75539568345,54.0540540541,10.7142857143,26.6666666667,Atlanta,GA
R,5.03597122302,56.7567567568,0,13.3333333333,Atlanta,GA
MongoDB,4.31654676259,10.8108108108,3.57142857143,6.66666666667,Atlanta,GA
Hive,3.59712230216,16.2162162162,3.57142857143,46.6666666667,Atlanta,GA
Pig,2.87769784173,13.5135135135,3.57142857143,40,Atlanta,GA
HBase,2.87769784173,10.8108108108,3.57142857143,26.6666666667,Atlanta,GA
Spark,2.87769784173,21.6216216216,0,33.3333333333,Atlanta,GA
Oozie,2.87769784173,0,3.57142857143,6.66666666667,Atlanta,GA
JavaScript,2.87769784173,16.2162162162,0,6.66666666667,Atlanta,GA
NoSQL,2.15827338129,5.40540540541,3.57142857143,33.3333333333,Atlanta,GA
SPSS,1.43884892086,2.7027027027,3.57142857143,0,Atlanta,GA
Flume,1.43884892086,0,0,0,Atlanta,GA
MapReduce,1.43884892086,10.8108108108,0,26.6666666667,Atlanta,GA
Perl,1.43884892086,16.2162162162,3.57142857143,6.66666666667,Atlanta,GA
Cassandra,1.43884892086,13.5135135135,0,33.3333333333,Atlanta,GA
C++,0.719424460432,16.2162162162,7.14285714286,0,Atlanta,GA
Matlab,0,24.3243243243,0,0,Atlanta,GA
Ruby,0,21.6216216216,0,13.3333333333,Atlanta,GA
Mahout,0,13.5135135135,0,0,Atlanta,GA
Scala,0,2.7027027027,0,13.3333333333,Atlanta,GA
Shark,0,0,0,20,Atlanta,GA
