Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,34.9206349206,20,80,50,Aurora,CO
Excel,25.3968253968,10,0,18.75,Aurora,CO
Java,12.6984126984,16.6666666667,26.6666666667,56.25,Aurora,CO
Perl,11.1111111111,3.33333333333,0,18.75,Aurora,CO
SAS,7.93650793651,16.6666666667,6.66666666667,0,Aurora,CO
Hadoop,7.93650793651,20,0,37.5,Aurora,CO
Tableau,6.34920634921,3.33333333333,0,0,Aurora,CO
Python,6.34920634921,23.3333333333,20,31.25,Aurora,CO
Pig,6.34920634921,10,0,25,Aurora,CO
R,4.7619047619,33.3333333333,53.3333333333,0,Aurora,CO
HBase,3.1746031746,3.33333333333,0,25,Aurora,CO
ZooKeeper,3.1746031746,0,0,0,Aurora,CO
Hive,3.1746031746,16.6666666667,0,25,Aurora,CO
JavaScript,3.1746031746,6.66666666667,26.6666666667,18.75,Aurora,CO
Ruby,3.1746031746,13.3333333333,26.6666666667,0,Aurora,CO
Matlab,1.5873015873,6.66666666667,0,0,Aurora,CO
SPSS,1.5873015873,3.33333333333,0,0,Aurora,CO
Scala,1.5873015873,3.33333333333,0,0,Aurora,CO
NoSQL,1.5873015873,3.33333333333,40,25,Aurora,CO
MapReduce,0,13.3333333333,0,18.75,Aurora,CO
D3,0,6.66666666667,0,0,Aurora,CO
Spark,0,3.33333333333,0,18.75,Aurora,CO
C++,0,0,20,0,Aurora,CO
Shark,0,0,0,12.5,Aurora,CO
Cassandra,0,0,0,12.5,Aurora,CO
