Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Excel,62.1621621622,0,0,10,Austin,TX
SQL,45.9459459459,43.75,72.2222222222,35,Austin,TX
Tableau,24.3243243243,18.75,0,0,Austin,TX
R,18.9189189189,43.75,33.3333333333,0,Austin,TX
Hive,13.5135135135,31.25,38.8888888889,30,Austin,TX
Python,10.8108108108,62.5,38.8888888889,20,Austin,TX
Hadoop,10.8108108108,50,72.2222222222,45,Austin,TX
SAS,8.10810810811,0,0,0,Austin,TX
JavaScript,5.40540540541,6.25,11.1111111111,10,Austin,TX
SPSS,5.40540540541,0,0,0,Austin,TX
Java,0,43.75,61.1111111111,55,Austin,TX
Spark,0,31.25,38.8888888889,15,Austin,TX
MapReduce,0,25,0,10,Austin,TX
C++,0,18.75,0,5,Austin,TX
Ruby,0,6.25,0,5,Austin,TX
D3.js,0,6.25,0,0,Austin,TX
Pig,0,6.25,38.8888888889,25,Austin,TX
Matlab,0,6.25,0,0,Austin,TX
MongoDB,0,6.25,11.1111111111,5,Austin,TX
D3,0,6.25,0,0,Austin,TX
NoSQL,0,0,50,15,Austin,TX
HBase,0,0,38.8888888889,40,Austin,TX
Cassandra,0,0,27.7777777778,20,Austin,TX
Scala,0,0,27.7777777778,15,Austin,TX
Flume,0,0,22.2222222222,15,Austin,TX
ZooKeeper,0,0,11.1111111111,10,Austin,TX
Oozie,0,0,11.1111111111,10,Austin,TX
Perl,0,0,0,10,Austin,TX
Shark,0,0,0,10,Austin,TX
