Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Excel,21.5189873418,9.67741935484,16.6666666667,0,Baltimore,MD
SQL,20.253164557,16.1290322581,8.33333333333,25,Baltimore,MD
Java,18.9873417722,64.5161290323,8.33333333333,75,Baltimore,MD
Perl,15.1898734177,22.5806451613,8.33333333333,0,Baltimore,MD
C++,13.9240506329,9.67741935484,0,25,Baltimore,MD
JavaScript,11.3924050633,3.22580645161,0,0,Baltimore,MD
SAS,11.3924050633,16.1290322581,0,0,Baltimore,MD
Ruby,6.32911392405,25.8064516129,0,25,Baltimore,MD
Tableau,5.06329113924,0,0,0,Baltimore,MD
Python,2.53164556962,54.8387096774,0,50,Baltimore,MD
R,1.26582278481,41.935483871,0,0,Baltimore,MD
SPSS,1.26582278481,12.9032258065,0,0,Baltimore,MD
MapReduce,0,41.935483871,0,25,Baltimore,MD
Hadoop,0,35.4838709677,8.33333333333,25,Baltimore,MD
Pig,0,19.3548387097,0,0,Baltimore,MD
Matlab,0,19.3548387097,0,0,Baltimore,MD
NoSQL,0,16.1290322581,8.33333333333,25,Baltimore,MD
HBase,0,16.1290322581,0,0,Baltimore,MD
Cassandra,0,16.1290322581,0,0,Baltimore,MD
Mahout,0,16.1290322581,0,0,Baltimore,MD
Hive,0,12.9032258065,0,25,Baltimore,MD
Spark,0,12.9032258065,0,0,Baltimore,MD
MongoDB,0,9.67741935484,0,25,Baltimore,MD
Scala,0,9.67741935484,0,0,Baltimore,MD
D3.js,0,3.22580645161,0,0,Baltimore,MD
D3,0,3.22580645161,0,0,Baltimore,MD
