Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,37.8676470588,40.3361344538,55,48.2142857143,Boston,MA
Excel,26.8382352941,8.40336134454,10,8.92857142857,Boston,MA
SAS,15.8088235294,21.0084033613,0,1.78571428571,Boston,MA
R,14.7058823529,48.7394957983,7.5,21.4285714286,Boston,MA
Python,11.0294117647,52.1008403361,7.5,30.3571428571,Boston,MA
Tableau,8.45588235294,8.40336134454,12.5,10.7142857143,Boston,MA
Java,7.35294117647,25.2100840336,17.5,44.6428571429,Boston,MA
JavaScript,5.88235294118,21.8487394958,10,8.92857142857,Boston,MA
Matlab,4.04411764706,6.72268907563,0,5.35714285714,Boston,MA
Hadoop,4.04411764706,19.3277310924,12.5,39.2857142857,Boston,MA
Hive,4.04411764706,15.1260504202,10,21.4285714286,Boston,MA
Ruby,4.04411764706,2.52100840336,10,5.35714285714,Boston,MA
SPSS,2.94117647059,10.0840336134,0,1.78571428571,Boston,MA
Spark,2.57352941176,21.0084033613,5,17.8571428571,Boston,MA
Scala,2.20588235294,14.2857142857,0,3.57142857143,Boston,MA
C++,1.83823529412,8.40336134454,2.5,5.35714285714,Boston,MA
Perl,1.10294117647,4.20168067227,0,0,Boston,MA
HBase,0.735294117647,0,2.5,7.14285714286,Boston,MA
MapReduce,0.735294117647,5.04201680672,5,7.14285714286,Boston,MA
Pig,0.735294117647,1.68067226891,7.5,10.7142857143,Boston,MA
Flume,0.367647058824,0.840336134454,0,0,Boston,MA
NoSQL,0.367647058824,9.24369747899,5,17.8571428571,Boston,MA
MongoDB,0.367647058824,4.20168067227,0,14.2857142857,Boston,MA
Cassandra,0,4.20168067227,2.5,12.5,Boston,MA
D3.js,0,1.68067226891,0,0,Boston,MA
D3,0,1.68067226891,0,0,Boston,MA
Mahout,0,0.840336134454,0,3.57142857143,Boston,MA
Shark,0,0,2.5,1.78571428571,Boston,MA
Oozie,0,0,0,3.57142857143,Boston,MA
