Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,34.0425531915,26.6666666667,100,42.8571428571,Boulder,CO
Excel,29.7872340426,0,0,14.2857142857,Boulder,CO
Tableau,12.7659574468,3.33333333333,0,0,Boulder,CO
Python,12.7659574468,26.6666666667,0,42.8571428571,Boulder,CO
R,10.6382978723,36.6666666667,66.6666666667,0,Boulder,CO
Java,10.6382978723,16.6666666667,0,57.1428571429,Boulder,CO
Hadoop,6.3829787234,26.6666666667,0,71.4285714286,Boulder,CO
JavaScript,6.3829787234,10,0,14.2857142857,Boulder,CO
Perl,6.3829787234,3.33333333333,0,28.5714285714,Boulder,CO
Pig,4.25531914894,16.6666666667,0,42.8571428571,Boulder,CO
Matlab,4.25531914894,10,0,0,Boulder,CO
Ruby,4.25531914894,20,0,0,Boulder,CO
Hive,4.25531914894,26.6666666667,0,42.8571428571,Boulder,CO
C++,2.12765957447,0,0,0,Boulder,CO
NoSQL,2.12765957447,3.33333333333,33.3333333333,14.2857142857,Boulder,CO
Scala,2.12765957447,6.66666666667,0,14.2857142857,Boulder,CO
SAS,2.12765957447,10,0,0,Boulder,CO
SPSS,2.12765957447,0,0,0,Boulder,CO
MapReduce,0,20,0,28.5714285714,Boulder,CO
D3,0,13.3333333333,0,0,Boulder,CO
Spark,0,6.66666666667,0,57.1428571429,Boulder,CO
HBase,0,3.33333333333,0,42.8571428571,Boulder,CO
Shark,0,0,0,14.2857142857,Boulder,CO
Cassandra,0,0,0,14.2857142857,Boulder,CO
