Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Excel,43.9024390244,0,0,50,Chandler,AZ
SQL,36.5853658537,0,0,0,Chandler,AZ
Tableau,14.6341463415,20,0,0,Chandler,AZ
SAS,14.6341463415,40,0,0,Chandler,AZ
JavaScript,7.31707317073,0,0,0,Chandler,AZ
R,7.31707317073,40,0,0,Chandler,AZ
Java,4.87804878049,40,50,100,Chandler,AZ
SPSS,2.43902439024,20,0,0,Chandler,AZ
Python,0,40,0,0,Chandler,AZ
Hadoop,0,40,50,100,Chandler,AZ
Perl,0,20,0,0,Chandler,AZ
Spark,0,20,0,100,Chandler,AZ
HBase,0,20,0,100,Chandler,AZ
Cassandra,0,0,0,100,Chandler,AZ
Flume,0,0,0,50,Chandler,AZ
Shark,0,0,0,50,Chandler,AZ
Hive,0,0,0,50,Chandler,AZ
Pig,0,0,0,50,Chandler,AZ
MapReduce,0,0,0,50,Chandler,AZ
