Term,DAnalyst,DScientist,DArchitect,City,State
SQL,40,40,75,Charlotte,NC
Excel,14.5454545455,10,0,Charlotte,NC
SAS,3.63636363636,30,0,Charlotte,NC
Tableau,3.63636363636,20,0,Charlotte,NC
Hadoop,1.81818181818,10,37.5,Charlotte,NC
R,0,40,0,Charlotte,NC
Python,0,20,0,Charlotte,NC
SPSS,0,20,0,Charlotte,NC
Java,0,10,12.5,Charlotte,NC
Scala,0,10,0,Charlotte,NC
MongoDB,0,10,12.5,Charlotte,NC
C++,0,10,0,Charlotte,NC
Pig,0,0,25,Charlotte,NC
Flume,0,0,12.5,Charlotte,NC
NoSQL,0,0,12.5,Charlotte,NC
JavaScript,0,0,12.5,Charlotte,NC
Hive,0,0,12.5,Charlotte,NC
Perl,0,0,12.5,Charlotte,NC
MapReduce,0,0,12.5,Charlotte,NC
Spark,0,0,12.5,Charlotte,NC
HBase,0,0,12.5,Charlotte,NC
