Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Excel,46.7153284672,5.12820512821,6.3829787234,13.3333333333,Chicago,IL
SQL,40.1459854015,33.3333333333,36.170212766,51.1111111111,Chicago,IL
JavaScript,14.598540146,16.6666666667,6.3829787234,22.2222222222,Chicago,IL
R,12.4087591241,46.1538461538,6.3829787234,26.6666666667,Chicago,IL
SAS,10.2189781022,16.6666666667,4.25531914894,6.66666666667,Chicago,IL
Tableau,8.75912408759,16.6666666667,6.3829787234,11.1111111111,Chicago,IL
Python,7.29927007299,50,6.3829787234,40,Chicago,IL
SPSS,4.3795620438,14.1025641026,0,6.66666666667,Chicago,IL
Matlab,3.6496350365,15.3846153846,0,15.5555555556,Chicago,IL
Java,2.1897810219,17.9487179487,25.5319148936,42.2222222222,Chicago,IL
NoSQL,0.729927007299,5.12820512821,14.8936170213,33.3333333333,Chicago,IL
HBase,0.729927007299,1.28205128205,4.25531914894,26.6666666667,Chicago,IL
Pig,0.729927007299,3.84615384615,8.51063829787,31.1111111111,Chicago,IL
C++,0.729927007299,10.2564102564,2.12765957447,2.22222222222,Chicago,IL
Hadoop,0.729927007299,17.9487179487,12.7659574468,46.6666666667,Chicago,IL
MongoDB,0.729927007299,1.28205128205,8.51063829787,17.7777777778,Chicago,IL
Spark,0.729927007299,6.41025641026,12.7659574468,33.3333333333,Chicago,IL
Perl,0.729927007299,5.12820512821,2.12765957447,11.1111111111,Chicago,IL
Ruby,0.729927007299,3.84615384615,0,20,Chicago,IL
D3,0.729927007299,5.12820512821,0,0,Chicago,IL
Hive,0.729927007299,7.69230769231,6.3829787234,33.3333333333,Chicago,IL
D3.js,0,2.5641025641,0,0,Chicago,IL
MapReduce,0,2.5641025641,6.3829787234,20,Chicago,IL
Scala,0,2.5641025641,2.12765957447,15.5555555556,Chicago,IL
Oozie,0,1.28205128205,2.12765957447,4.44444444444,Chicago,IL
Flume,0,1.28205128205,4.25531914894,15.5555555556,Chicago,IL
Mahout,0,1.28205128205,2.12765957447,2.22222222222,Chicago,IL
Shark,0,1.28205128205,0,2.22222222222,Chicago,IL
Cassandra,0,0,14.8936170213,20,Chicago,IL
ZooKeeper,0,0,2.12765957447,0,Chicago,IL
