Term,DAnalyst,DScientist,DArchitect,City,State
Excel,42.1052631579,0,0,Cincinnati,OH
SQL,42.1052631579,18.1818181818,36.3636363636,Cincinnati,OH
Tableau,7.89473684211,0,9.09090909091,Cincinnati,OH
JavaScript,5.26315789474,0,18.1818181818,Cincinnati,OH
NoSQL,2.63157894737,9.09090909091,18.1818181818,Cincinnati,OH
Hadoop,2.63157894737,9.09090909091,27.2727272727,Cincinnati,OH
R,2.63157894737,9.09090909091,18.1818181818,Cincinnati,OH
SAS,2.63157894737,0,0,Cincinnati,OH
Python,0,18.1818181818,18.1818181818,Cincinnati,OH
Flume,0,9.09090909091,9.09090909091,Cincinnati,OH
Java,0,9.09090909091,27.2727272727,Cincinnati,OH
MongoDB,0,9.09090909091,9.09090909091,Cincinnati,OH
Hive,0,9.09090909091,18.1818181818,Cincinnati,OH
Pig,0,9.09090909091,9.09090909091,Cincinnati,OH
Spark,0,9.09090909091,9.09090909091,Cincinnati,OH
HBase,0,9.09090909091,9.09090909091,Cincinnati,OH
Cassandra,0,9.09090909091,9.09090909091,Cincinnati,OH
Perl,0,0,18.1818181818,Cincinnati,OH
C++,0,0,9.09090909091,Cincinnati,OH
MapReduce,0,0,9.09090909091,Cincinnati,OH
Scala,0,0,9.09090909091,Cincinnati,OH
