Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,28.125,0,0,33.3333333333,Columbus,OH
Excel,18.75,33.3333333333,33.3333333333,16.6666666667,Columbus,OH
SAS,15.625,0,0,0,Columbus,OH
Java,12.5,0,33.3333333333,16.6666666667,Columbus,OH
R,12.5,33.3333333333,0,0,Columbus,OH
Python,9.375,33.3333333333,0,16.6666666667,Columbus,OH
Hadoop,9.375,33.3333333333,0,16.6666666667,Columbus,OH
SPSS,9.375,0,0,0,Columbus,OH
Pig,9.375,33.3333333333,0,16.6666666667,Columbus,OH
Ruby,9.375,0,0,0,Columbus,OH
Tableau,0,33.3333333333,0,0,Columbus,OH
Spark,0,33.3333333333,0,16.6666666667,Columbus,OH
NoSQL,0,0,0,16.6666666667,Columbus,OH
MongoDB,0,0,0,16.6666666667,Columbus,OH
Hive,0,0,0,16.6666666667,Columbus,OH
Perl,0,0,0,16.6666666667,Columbus,OH
MapReduce,0,0,0,16.6666666667,Columbus,OH
Oozie,0,0,0,16.6666666667,Columbus,OH
HBase,0,0,0,16.6666666667,Columbus,OH
Cassandra,0,0,0,16.6666666667,Columbus,OH
