Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,45.3125,55.5555555556,29.1666666667,40,Dallas,TX
Excel,39.0625,14.8148148148,0,30,Dallas,TX
SAS,17.1875,37.037037037,0,0,Dallas,TX
Tableau,13.28125,22.2222222222,4.16666666667,20,Dallas,TX
R,13.28125,55.5555555556,4.16666666667,10,Dallas,TX
Hadoop,10.15625,48.1481481481,50,60,Dallas,TX
Python,9.375,55.5555555556,8.33333333333,30,Dallas,TX
Java,7.8125,37.037037037,37.5,30,Dallas,TX
JavaScript,7.8125,0,0,20,Dallas,TX
Hive,7.8125,44.4444444444,20.8333333333,30,Dallas,TX
Pig,7.03125,22.2222222222,16.6666666667,20,Dallas,TX
SPSS,5.46875,18.5185185185,0,0,Dallas,TX
Spark,3.125,11.1111111111,20.8333333333,40,Dallas,TX
MongoDB,2.34375,3.7037037037,12.5,0,Dallas,TX
Cassandra,2.34375,18.5185185185,16.6666666667,10,Dallas,TX
Ruby,1.5625,11.1111111111,0,0,Dallas,TX
Matlab,1.5625,22.2222222222,0,0,Dallas,TX
C++,0.78125,11.1111111111,4.16666666667,0,Dallas,TX
NoSQL,0.78125,25.9259259259,41.6666666667,0,Dallas,TX
Oozie,0.78125,0,8.33333333333,0,Dallas,TX
MapReduce,0.78125,29.6296296296,8.33333333333,30,Dallas,TX
D3.js,0.78125,0,0,0,Dallas,TX
Perl,0,14.8148148148,4.16666666667,10,Dallas,TX
Scala,0,14.8148148148,20.8333333333,0,Dallas,TX
Shark,0,11.1111111111,0,10,Dallas,TX
HBase,0,0,16.6666666667,20,Dallas,TX
ZooKeeper,0,0,12.5,0,Dallas,TX
Flume,0,0,8.33333333333,0,Dallas,TX
Mahout,0,0,0,10,Dallas,TX
