Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,34.2105263158,16.1290322581,100,36.3636363636,Denver,CO
Excel,30.2631578947,6.45161290323,0,18.1818181818,Denver,CO
Tableau,11.8421052632,6.45161290323,0,0,Denver,CO
Java,7.89473684211,16.1290322581,37.5,45.4545454545,Denver,CO
R,6.57894736842,35.4838709677,50,9.09090909091,Denver,CO
SAS,6.57894736842,12.9032258065,0,0,Denver,CO
Perl,5.26315789474,3.22580645161,0,18.1818181818,Denver,CO
Python,5.26315789474,19.3548387097,25,27.2727272727,Denver,CO
Hadoop,3.94736842105,19.3548387097,0,27.2727272727,Denver,CO
SPSS,2.63157894737,3.22580645161,0,0,Denver,CO
Pig,2.63157894737,12.9032258065,0,18.1818181818,Denver,CO
Ruby,2.63157894737,9.67741935484,37.5,0,Denver,CO
JavaScript,2.63157894737,6.45161290323,37.5,27.2727272727,Denver,CO
Matlab,1.31578947368,6.45161290323,0,0,Denver,CO
Hive,1.31578947368,16.1290322581,0,18.1818181818,Denver,CO
Scala,1.31578947368,9.67741935484,0,18.1818181818,Denver,CO
HBase,1.31578947368,3.22580645161,0,18.1818181818,Denver,CO
NoSQL,1.31578947368,3.22580645161,37.5,27.2727272727,Denver,CO
ZooKeeper,1.31578947368,0,0,0,Denver,CO
MapReduce,0,9.67741935484,0,9.09090909091,Denver,CO
Spark,0,9.67741935484,0,36.3636363636,Denver,CO
D3,0,6.45161290323,0,0,Denver,CO
C++,0,0,25,0,Denver,CO
Shark,0,0,0,9.09090909091,Denver,CO
Cassandra,0,0,0,9.09090909091,Denver,CO
