Term,DAnalyst,DScientist,DArchitect,City,State
SQL,41.0256410256,33.3333333333,50,Detroit,MI
Excel,35.8974358974,6.66666666667,0,Detroit,MI
SAS,16.6666666667,33.3333333333,7.14285714286,Detroit,MI
Tableau,11.5384615385,20,14.2857142857,Detroit,MI
Hadoop,8.97435897436,46.6666666667,21.4285714286,Detroit,MI
JavaScript,8.97435897436,0,7.14285714286,Detroit,MI
Perl,6.41025641026,0,0,Detroit,MI
SPSS,6.41025641026,0,7.14285714286,Detroit,MI
R,5.12820512821,6.66666666667,7.14285714286,Detroit,MI
Hive,5.12820512821,26.6666666667,7.14285714286,Detroit,MI
Java,3.84615384615,6.66666666667,14.2857142857,Detroit,MI
NoSQL,3.84615384615,13.3333333333,14.2857142857,Detroit,MI
Shark,3.84615384615,6.66666666667,0,Detroit,MI
C++,2.5641025641,6.66666666667,7.14285714286,Detroit,MI
Matlab,2.5641025641,6.66666666667,0,Detroit,MI
Ruby,2.5641025641,0,0,Detroit,MI
Python,2.5641025641,0,0,Detroit,MI
Pig,2.5641025641,26.6666666667,7.14285714286,Detroit,MI
MapReduce,1.28205128205,13.3333333333,0,Detroit,MI
Spark,1.28205128205,6.66666666667,7.14285714286,Detroit,MI
HBase,0,0,7.14285714286,Detroit,MI
Cassandra,0,0,7.14285714286,Detroit,MI
