Term,DAnalyst,DScientist,DArchitect,City,State
SQL,51.2820512821,25,22.2222222222,Durham,NC
Excel,25.641025641,25,0,Durham,NC
SAS,23.0769230769,25,22.2222222222,Durham,NC
Tableau,20.5128205128,0,0,Durham,NC
Python,15.3846153846,0,0,Durham,NC
R,10.2564102564,0,0,Durham,NC
Java,7.69230769231,0,22.2222222222,Durham,NC
Hadoop,5.12820512821,0,44.4444444444,Durham,NC
Pig,5.12820512821,0,22.2222222222,Durham,NC
Hive,5.12820512821,0,44.4444444444,Durham,NC
MongoDB,2.5641025641,0,0,Durham,NC
JavaScript,2.5641025641,0,0,Durham,NC
C++,2.5641025641,0,0,Durham,NC
Matlab,2.5641025641,0,0,Durham,NC
SPSS,2.5641025641,0,0,Durham,NC
Perl,2.5641025641,0,0,Durham,NC
NoSQL,0,0,22.2222222222,Durham,NC
MapReduce,0,0,22.2222222222,Durham,NC
Mahout,0,0,22.2222222222,Durham,NC
Spark,0,0,22.2222222222,Durham,NC
HBase,0,0,22.2222222222,Durham,NC
Cassandra,0,0,22.2222222222,Durham,NC
