Term,DAnalyst,DScientist,DArchitect,City,State
SQL,56.25,83.3333333333,20,FortWorth,TX
Excel,35.4166666667,50,0,FortWorth,TX
Tableau,16.6666666667,50,0,FortWorth,TX
Hadoop,16.6666666667,83.3333333333,50,FortWorth,TX
R,16.6666666667,83.3333333333,30,FortWorth,TX
Python,14.5833333333,83.3333333333,0,FortWorth,TX
SAS,14.5833333333,66.6666666667,0,FortWorth,TX
Java,10.4166666667,66.6666666667,20,FortWorth,TX
JavaScript,10.4166666667,0,0,FortWorth,TX
Hive,10.4166666667,83.3333333333,0,FortWorth,TX
Pig,10.4166666667,16.6666666667,0,FortWorth,TX
Spark,8.33333333333,16.6666666667,10,FortWorth,TX
MongoDB,2.08333333333,0,20,FortWorth,TX
Matlab,2.08333333333,16.6666666667,0,FortWorth,TX
Ruby,2.08333333333,0,0,FortWorth,TX
Cassandra,2.08333333333,50,20,FortWorth,TX
NoSQL,0,66.6666666667,20,FortWorth,TX
SPSS,0,50,0,FortWorth,TX
MapReduce,0,33.3333333333,0,FortWorth,TX
C++,0,16.6666666667,0,FortWorth,TX
Scala,0,16.6666666667,0,FortWorth,TX
Perl,0,16.6666666667,0,FortWorth,TX
Shark,0,16.6666666667,0,FortWorth,TX
HBase,0,0,10,FortWorth,TX
