Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,35.7142857143,33.4763948498,46.8085106383,33.5877862595,Fremont,CA
Excel,23.9795918367,4.72103004292,4.25531914894,5.34351145038,Fremont,CA
R,20.4081632653,51.9313304721,10.6382978723,12.9770992366,Fremont,CA
Python,15.8163265306,48.4978540773,17.0212765957,44.2748091603,Fremont,CA
Tableau,14.7959183673,9.01287553648,14.8936170213,9.16030534351,Fremont,CA
SAS,9.18367346939,11.5879828326,4.25531914894,1.52671755725,Fremont,CA
JavaScript,7.14285714286,9.44206008584,10.6382978723,7.63358778626,Fremont,CA
Hadoop,5.61224489796,34.3347639485,38.2978723404,54.9618320611,Fremont,CA
Java,4.59183673469,33.4763948498,29.7872340426,48.8549618321,Fremont,CA
Matlab,4.59183673469,14.5922746781,0,3.0534351145,Fremont,CA
SPSS,4.59183673469,5.15021459227,0,0,Fremont,CA
Spark,4.08163265306,18.4549356223,21.2765957447,43.5114503817,Fremont,CA
NoSQL,3.57142857143,9.01287553648,19.1489361702,16.0305343511,Fremont,CA
C++,2.55102040816,16.7381974249,10.6382978723,6.10687022901,Fremont,CA
Hive,2.55102040816,19.7424892704,23.4042553191,25.9541984733,Fremont,CA
Ruby,2.04081632653,3.00429184549,2.12765957447,9.92366412214,Fremont,CA
Scala,2.04081632653,11.5879828326,6.3829787234,13.7404580153,Fremont,CA
MongoDB,1.5306122449,3.00429184549,4.25531914894,1.52671755725,Fremont,CA
Perl,1.02040816327,5.15021459227,0,11.4503816794,Fremont,CA
Pig,1.02040816327,16.7381974249,17.0212765957,17.5572519084,Fremont,CA
HBase,0.510204081633,5.15021459227,17.0212765957,16.7938931298,Fremont,CA
MapReduce,0.510204081633,6.00858369099,6.3829787234,16.0305343511,Fremont,CA
Cassandra,0.510204081633,1.71673819742,10.6382978723,12.213740458,Fremont,CA
Mahout,0,4.29184549356,4.25531914894,2.29007633588,Fremont,CA
D3,0,1.71673819742,0,0,Fremont,CA
Shark,0,0.858369098712,2.12765957447,1.52671755725,Fremont,CA
Oozie,0,0.858369098712,4.25531914894,2.29007633588,Fremont,CA
Flume,0,0.858369098712,12.7659574468,3.0534351145,Fremont,CA
ZooKeeper,0,0,2.12765957447,2.29007633588,Fremont,CA
