Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,43.2692307692,66.6666666667,27.7777777778,50,Garland,TX
Excel,42.3076923077,22.2222222222,0,30,Garland,TX
SAS,20.1923076923,44.4444444444,0,0,Garland,TX
R,17.3076923077,66.6666666667,11.1111111111,10,Garland,TX
Tableau,14.4230769231,29.6296296296,5.55555555556,30,Garland,TX
Python,10.5769230769,59.2592592593,16.6666666667,20,Garland,TX
Hadoop,9.61538461538,51.8518518519,55.5555555556,50,Garland,TX
Hive,9.61538461538,48.1481481481,22.2222222222,30,Garland,TX
JavaScript,7.69230769231,0,0,20,Garland,TX
Pig,6.73076923077,25.9259259259,22.2222222222,20,Garland,TX
Java,6.73076923077,44.4444444444,50,30,Garland,TX
SPSS,5.76923076923,25.9259259259,0,0,Garland,TX
Spark,3.84615384615,11.1111111111,22.2222222222,40,Garland,TX
D3.js,2.88461538462,0,0,0,Garland,TX
MapReduce,2.88461538462,29.6296296296,16.6666666667,30,Garland,TX
Oozie,0.961538461538,0,11.1111111111,0,Garland,TX
C++,0.961538461538,14.8148148148,5.55555555556,0,Garland,TX
MongoDB,0.961538461538,3.7037037037,16.6666666667,0,Garland,TX
NoSQL,0.961538461538,29.6296296296,33.3333333333,0,Garland,TX
Cassandra,0.961538461538,25.9259259259,27.7777777778,10,Garland,TX
Matlab,0,25.9259259259,0,0,Garland,TX
Scala,0,18.5185185185,16.6666666667,0,Garland,TX
Perl,0,14.8148148148,11.1111111111,0,Garland,TX
Shark,0,11.1111111111,0,10,Garland,TX
Ruby,0,11.1111111111,0,0,Garland,TX
HBase,0,3.7037037037,22.2222222222,20,Garland,TX
Flume,0,0,16.6666666667,0,Garland,TX
ZooKeeper,0,0,11.1111111111,0,Garland,TX
Mahout,0,0,0,10,Garland,TX
