Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,35.5555555556,0,33.3333333333,0,Glendale,AZ
Excel,26.6666666667,0,0,33.3333333333,Glendale,AZ
Tableau,17.7777777778,33.3333333333,33.3333333333,0,Glendale,AZ
SAS,11.1111111111,50,33.3333333333,0,Glendale,AZ
R,4.44444444444,50,0,0,Glendale,AZ
Java,2.22222222222,33.3333333333,66.6666666667,66.6666666667,Glendale,AZ
JavaScript,2.22222222222,0,0,0,Glendale,AZ
SPSS,2.22222222222,16.6666666667,0,0,Glendale,AZ
Python,0,50,0,33.3333333333,Glendale,AZ
Hadoop,0,50,66.6666666667,100,Glendale,AZ
Spark,0,33.3333333333,0,66.6666666667,Glendale,AZ
Perl,0,16.6666666667,0,33.3333333333,Glendale,AZ
HBase,0,16.6666666667,0,66.6666666667,Glendale,AZ
Hive,0,0,33.3333333333,33.3333333333,Glendale,AZ
Pig,0,0,33.3333333333,33.3333333333,Glendale,AZ
Cassandra,0,0,33.3333333333,66.6666666667,Glendale,AZ
Flume,0,0,0,33.3333333333,Glendale,AZ
Shark,0,0,0,33.3333333333,Glendale,AZ
MapReduce,0,0,0,33.3333333333,Glendale,AZ
