Term,DAnalyst,DScientist,DArchitect,City,State
SQL,60.4651162791,0,50,Houston,TX
Excel,53.488372093,0,25,Houston,TX
SAS,16.2790697674,0,16.6666666667,Houston,TX
Java,9.3023255814,25,16.6666666667,Houston,TX
Python,4.6511627907,25,8.33333333333,Houston,TX
JavaScript,4.6511627907,0,0,Houston,TX
MongoDB,2.32558139535,0,0,Houston,TX
Hadoop,2.32558139535,0,16.6666666667,Houston,TX
C++,2.32558139535,0,8.33333333333,Houston,TX
Spark,2.32558139535,0,8.33333333333,Houston,TX
Cassandra,2.32558139535,0,16.6666666667,Houston,TX
R,0,25,8.33333333333,Houston,TX
Tableau,0,0,16.6666666667,Houston,TX
HBase,0,0,16.6666666667,Houston,TX
Pig,0,0,16.6666666667,Houston,TX
Hive,0,0,16.6666666667,Houston,TX
MapReduce,0,0,16.6666666667,Houston,TX
NoSQL,0,0,16.6666666667,Houston,TX
Oozie,0,0,8.33333333333,Houston,TX
Ruby,0,0,8.33333333333,Houston,TX
SPSS,0,0,8.33333333333,Houston,TX
Perl,0,0,8.33333333333,Houston,TX
Flume,0,0,8.33333333333,Houston,TX
