Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,43.1818181818,35.7142857143,33.3333333333,0,Irvine,CA
Excel,40.9090909091,7.14285714286,0,100,Irvine,CA
SAS,9.09090909091,21.4285714286,0,0,Irvine,CA
JavaScript,6.81818181818,0,0,0,Irvine,CA
Tableau,6.81818181818,21.4285714286,0,0,Irvine,CA
Hadoop,4.54545454545,42.8571428571,33.3333333333,100,Irvine,CA
R,4.54545454545,21.4285714286,0,0,Irvine,CA
Java,2.27272727273,21.4285714286,0,100,Irvine,CA
NoSQL,2.27272727273,0,0,0,Irvine,CA
Python,2.27272727273,35.7142857143,0,0,Irvine,CA
Matlab,2.27272727273,7.14285714286,0,0,Irvine,CA
Perl,2.27272727273,0,0,0,Irvine,CA
Spark,0,28.5714285714,0,100,Irvine,CA
Pig,0,21.4285714286,0,100,Irvine,CA
Ruby,0,14.2857142857,0,0,Irvine,CA
Cassandra,0,14.2857142857,0,100,Irvine,CA
Hive,0,14.2857142857,0,100,Irvine,CA
Scala,0,14.2857142857,0,0,Irvine,CA
Mahout,0,7.14285714286,0,0,Irvine,CA
SPSS,0,7.14285714286,0,0,Irvine,CA
MapReduce,0,7.14285714286,0,100,Irvine,CA
Shark,0,0,0,100,Irvine,CA
HBase,0,0,0,100,Irvine,CA
