Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,44.8275862069,70.9677419355,21.2121212121,40,Irving,TX
Excel,42.7586206897,19.3548387097,3.0303030303,30,Irving,TX
SAS,19.3103448276,48.3870967742,0,0,Irving,TX
R,15.1724137931,70.9677419355,18.1818181818,10,Irving,TX
Tableau,11.724137931,25.8064516129,6.06060606061,20,Irving,TX
Hadoop,11.0344827586,48.3870967742,60.6060606061,60,Irving,TX
Python,11.0344827586,61.2903225806,9.09090909091,30,Irving,TX
Java,9.65517241379,41.935483871,30.303030303,30,Irving,TX
Hive,7.58620689655,45.1612903226,18.1818181818,30,Irving,TX
JavaScript,6.89655172414,0,0,20,Irving,TX
Pig,6.89655172414,22.5806451613,18.1818181818,20,Irving,TX
Spark,4.13793103448,9.67741935484,24.2424242424,40,Irving,TX
SPSS,4.13793103448,22.5806451613,0,0,Irving,TX
MongoDB,1.37931034483,3.22580645161,12.1212121212,0,Irving,TX
Cassandra,1.37931034483,22.5806451613,21.2121212121,10,Irving,TX
Ruby,0.689655172414,9.67741935484,0,0,Irving,TX
C++,0.689655172414,19.3548387097,3.0303030303,0,Irving,TX
NoSQL,0.689655172414,29.0322580645,33.3333333333,0,Irving,TX
Oozie,0.689655172414,0,6.06060606061,0,Irving,TX
MapReduce,0.689655172414,32.2580645161,9.09090909091,30,Irving,TX
Matlab,0.689655172414,22.5806451613,0,0,Irving,TX
D3.js,0.689655172414,0,0,0,Irving,TX
Scala,0,19.3548387097,18.1818181818,0,Irving,TX
Perl,0,12.9032258065,6.06060606061,10,Irving,TX
HBase,0,6.45161290323,15.1515151515,20,Irving,TX
Shark,0,6.45161290323,0,10,Irving,TX
Flume,0,3.22580645161,9.09090909091,0,Irving,TX
Mahout,0,3.22580645161,3.0303030303,10,Irving,TX
ZooKeeper,0,0,9.09090909091,0,Irving,TX
