Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,39.5784543326,39.5833333333,53.9130434783,39.6825396825,Jersey,NJ
Excel,38.1733021077,12.9166666667,6.95652173913,3.1746031746,Jersey,NJ
R,12.1779859485,55.8333333333,12.1739130435,13.4920634921,Jersey,NJ
Tableau,10.5386416862,6.66666666667,14.7826086957,8.73015873016,Jersey,NJ
Python,8.66510538642,57.0833333333,20,50,Jersey,NJ
SAS,7.962529274,15.8333333333,7.82608695652,1.5873015873,Jersey,NJ
Java,6.55737704918,18.75,31.3043478261,43.6507936508,Jersey,NJ
JavaScript,4.44964871194,5,5.21739130435,12.6984126984,Jersey,NJ
Hadoop,4.44964871194,31.25,26.0869565217,45.2380952381,Jersey,NJ
SPSS,4.44964871194,4.16666666667,0.869565217391,0,Jersey,NJ
Spark,2.57611241218,12.0833333333,15.652173913,40.4761904762,Jersey,NJ
Ruby,2.57611241218,5.41666666667,5.21739130435,5.55555555556,Jersey,NJ
Scala,2.34192037471,9.58333333333,6.08695652174,21.4285714286,Jersey,NJ
Hive,1.87353629977,14.5833333333,17.3913043478,24.6031746032,Jersey,NJ
Matlab,1.40515222482,10.8333333333,0.869565217391,0.793650793651,Jersey,NJ
Pig,1.17096018735,8.75,13.0434782609,18.253968254,Jersey,NJ
NoSQL,0.702576112412,7.5,19.1304347826,25.3968253968,Jersey,NJ
MongoDB,0.702576112412,4.58333333333,6.95652173913,14.2857142857,Jersey,NJ
D3,0.702576112412,2.91666666667,0.869565217391,0,Jersey,NJ
C++,0.468384074941,9.58333333333,4.34782608696,10.3174603175,Jersey,NJ
Perl,0.468384074941,3.33333333333,6.08695652174,6.34920634921,Jersey,NJ
MapReduce,0.468384074941,8.33333333333,5.21739130435,14.2857142857,Jersey,NJ
Cassandra,0.468384074941,0.416666666667,11.3043478261,13.4920634921,Jersey,NJ
D3.js,0.234192037471,0.416666666667,0,1.5873015873,Jersey,NJ
HBase,0,2.91666666667,14.7826086957,18.253968254,Jersey,NJ
Mahout,0,0.833333333333,5.21739130435,6.34920634921,Jersey,NJ
Flume,0,0,6.08695652174,3.1746031746,Jersey,NJ
ZooKeeper,0,0,4.34782608696,0,Jersey,NJ
Oozie,0,0,3.47826086957,0,Jersey,NJ
Shark,0,0,0,1.5873015873,Jersey,NJ
