Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Excel,42.5806451613,15.6862745098,4,22.8571428571,LongBeach,CA
SQL,42.5806451613,41.1764705882,56,54.2857142857,LongBeach,CA
R,15.4838709677,41.1764705882,4,8.57142857143,LongBeach,CA
SAS,13.5483870968,25.4901960784,0,11.4285714286,LongBeach,CA
Tableau,10.9677419355,7.8431372549,20,11.4285714286,LongBeach,CA
JavaScript,7.74193548387,9.80392156863,4,2.85714285714,LongBeach,CA
Python,6.45161290323,37.2549019608,12,45.7142857143,LongBeach,CA
SPSS,5.8064516129,9.80392156863,0,0,LongBeach,CA
Hive,4.51612903226,17.6470588235,8,31.4285714286,LongBeach,CA
Hadoop,4.51612903226,35.2941176471,36,48.5714285714,LongBeach,CA
Java,3.87096774194,17.6470588235,20,40,LongBeach,CA
C++,2.58064516129,3.92156862745,0,2.85714285714,LongBeach,CA
Perl,2.58064516129,5.88235294118,0,11.4285714286,LongBeach,CA
Matlab,1.29032258065,25.4901960784,0,2.85714285714,LongBeach,CA
Pig,1.29032258065,17.6470588235,0,17.1428571429,LongBeach,CA
NoSQL,0.645161290323,5.88235294118,20,31.4285714286,LongBeach,CA
MapReduce,0.645161290323,1.96078431373,0,14.2857142857,LongBeach,CA
HBase,0.645161290323,5.88235294118,4,22.8571428571,LongBeach,CA
Spark,0,23.5294117647,4,42.8571428571,LongBeach,CA
Cassandra,0,11.7647058824,8,31.4285714286,LongBeach,CA
D3.js,0,7.8431372549,0,0,LongBeach,CA
Mahout,0,5.88235294118,0,0,LongBeach,CA
Scala,0,5.88235294118,0,25.7142857143,LongBeach,CA
Ruby,0,3.92156862745,0,8.57142857143,LongBeach,CA
MongoDB,0,3.92156862745,4,25.7142857143,LongBeach,CA
D3,0,1.96078431373,0,0,LongBeach,CA
Flume,0,1.96078431373,0,0,LongBeach,CA
Shark,0,0,0,5.71428571429,LongBeach,CA
