Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,44.1988950276,45.652173913,53.8461538462,48.7804878049,Los Angeles,CA
Excel,34.2541436464,23.9130434783,11.5384615385,14.6341463415,Los Angeles,CA
Tableau,12.7071823204,21.7391304348,15.3846153846,7.31707317073,Los Angeles,CA
R,9.94475138122,45.652173913,11.5384615385,12.1951219512,Los Angeles,CA
JavaScript,8.28729281768,8.69565217391,7.69230769231,9.75609756098,Los Angeles,CA
SAS,8.28729281768,30.4347826087,0,0,Los Angeles,CA
SPSS,4.97237569061,6.52173913043,0,0,Los Angeles,CA
Python,3.31491712707,43.4782608696,11.5384615385,58.5365853659,Los Angeles,CA
Hive,3.31491712707,15.2173913043,7.69230769231,24.3902439024,Los Angeles,CA
Hadoop,3.31491712707,26.0869565217,26.9230769231,58.5365853659,Los Angeles,CA
C++,1.10497237569,2.17391304348,0,4.87804878049,Los Angeles,CA
Perl,1.10497237569,13.0434782609,0,21.9512195122,Los Angeles,CA
Java,1.10497237569,21.7391304348,23.0769230769,34.1463414634,Los Angeles,CA
Matlab,0.552486187845,19.5652173913,0,2.43902439024,Los Angeles,CA
MapReduce,0.552486187845,6.52173913043,0,4.87804878049,Los Angeles,CA
Ruby,0.552486187845,6.52173913043,3.84615384615,21.9512195122,Los Angeles,CA
HBase,0.552486187845,0,3.84615384615,14.6341463415,Los Angeles,CA
Pig,0.552486187845,13.0434782609,0,14.6341463415,Los Angeles,CA
Spark,0,8.69565217391,3.84615384615,36.5853658537,Los Angeles,CA
NoSQL,0,4.34782608696,23.0769230769,7.31707317073,Los Angeles,CA
Flume,0,4.34782608696,0,0,Los Angeles,CA
Mahout,0,2.17391304348,0,0,Los Angeles,CA
D3.js,0,2.17391304348,0,2.43902439024,Los Angeles,CA
D3,0,2.17391304348,0,2.43902439024,Los Angeles,CA
Cassandra,0,2.17391304348,7.69230769231,4.87804878049,Los Angeles,CA
MongoDB,0,0,7.69230769231,12.1951219512,Los Angeles,CA
Scala,0,0,0,14.6341463415,Los Angeles,CA
Shark,0,0,0,4.87804878049,Los Angeles,CA
