Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Excel,37.7777777778,0,0,0,Mesa,AZ
SQL,33.3333333333,0,50,0,Mesa,AZ
Tableau,15.5555555556,33.3333333333,50,0,Mesa,AZ
JavaScript,8.88888888889,0,0,0,Mesa,AZ
R,8.88888888889,50,0,0,Mesa,AZ
Java,6.66666666667,33.3333333333,50,33.3333333333,Mesa,AZ
SAS,6.66666666667,33.3333333333,25,0,Mesa,AZ
Python,0,33.3333333333,0,0,Mesa,AZ
Hadoop,0,33.3333333333,50,33.3333333333,Mesa,AZ
Perl,0,16.6666666667,0,0,Mesa,AZ
Spark,0,16.6666666667,0,33.3333333333,Mesa,AZ
SPSS,0,16.6666666667,0,0,Mesa,AZ
HBase,0,16.6666666667,0,33.3333333333,Mesa,AZ
Hive,0,0,25,0,Mesa,AZ
Pig,0,0,25,0,Mesa,AZ
Cassandra,0,0,25,33.3333333333,Mesa,AZ
Flume,0,0,0,33.3333333333,Mesa,AZ
