Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,43.9393939394,25,45.8333333333,0,Minneapolis,MN
Excel,24.2424242424,0,4.16666666667,100,Minneapolis,MN
SAS,10.6060606061,50,0,0,Minneapolis,MN
JavaScript,9.09090909091,25,8.33333333333,0,Minneapolis,MN
R,9.09090909091,50,4.16666666667,0,Minneapolis,MN
Java,4.54545454545,0,41.6666666667,100,Minneapolis,MN
Tableau,4.54545454545,25,4.16666666667,0,Minneapolis,MN
Python,3.0303030303,25,12.5,0,Minneapolis,MN
Hadoop,3.0303030303,25,29.1666666667,100,Minneapolis,MN
NoSQL,1.51515151515,0,8.33333333333,0,Minneapolis,MN
Mahout,1.51515151515,0,0,0,Minneapolis,MN
Cassandra,1.51515151515,0,12.5,100,Minneapolis,MN
SPSS,0,25,0,0,Minneapolis,MN
Spark,0,25,0,100,Minneapolis,MN
HBase,0,0,16.6666666667,100,Minneapolis,MN
Hive,0,0,12.5,100,Minneapolis,MN
Pig,0,0,12.5,100,Minneapolis,MN
MongoDB,0,0,8.33333333333,0,Minneapolis,MN
Ruby,0,0,8.33333333333,0,Minneapolis,MN
C++,0,0,4.16666666667,0,Minneapolis,MN
Shark,0,0,0,100,Minneapolis,MN
MapReduce,0,0,0,100,Minneapolis,MN
