Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,36.7256637168,37.8486055777,45,42.7419354839,New York,NY
Excel,35.8407079646,12.7490039841,7.5,3.22580645161,New York,NY
R,13.0530973451,54.1832669323,10.8333333333,17.7419354839,New York,NY
Tableau,12.1681415929,5.57768924303,12.5,2.41935483871,New York,NY
Python,9.07079646018,50.1992031873,19.1666666667,45.1612903226,New York,NY
SAS,7.74336283186,16.3346613546,7.5,1.61290322581,New York,NY
Java,6.63716814159,17.5298804781,24.1666666667,41.1290322581,New York,NY
Hadoop,5.97345132743,27.4900398406,20.8333333333,38.7096774194,New York,NY
SPSS,4.20353982301,7.17131474104,0.833333333333,0.806451612903,New York,NY
JavaScript,3.53982300885,4.78087649402,7.5,9.67741935484,New York,NY
Matlab,1.99115044248,15.9362549801,0,2.41935483871,New York,NY
Hive,1.76991150442,12.7490039841,14.1666666667,16.935483871,New York,NY
MapReduce,1.54867256637,5.57768924303,4.16666666667,8.87096774194,New York,NY
Spark,1.54867256637,10.7569721116,12.5,31.4516129032,New York,NY
Ruby,1.32743362832,3.98406374502,5.83333333333,4.83870967742,New York,NY
Pig,1.32743362832,7.96812749004,9.16666666667,11.2903225806,New York,NY
C++,1.10619469027,9.96015936255,3.33333333333,13.7096774194,New York,NY
Scala,1.10619469027,6.77290836653,2.5,16.1290322581,New York,NY
Perl,0.884955752212,3.18725099602,9.16666666667,5.64516129032,New York,NY
NoSQL,0.442477876106,6.77290836653,13.3333333333,20.9677419355,New York,NY
Oozie,0.442477876106,0,2.5,0.806451612903,New York,NY
Flume,0.442477876106,0,6.66666666667,3.22580645161,New York,NY
HBase,0.442477876106,3.98406374502,9.16666666667,13.7096774194,New York,NY
MongoDB,0.442477876106,5.57768924303,5,10.4838709677,New York,NY
D3,0.442477876106,1.59362549801,0,0,New York,NY
Cassandra,0.442477876106,0,7.5,12.9032258065,New York,NY
D3.js,0,0.796812749004,0,0,New York,NY
Shark,0,0.398406374502,0,0,New York,NY
Mahout,0,0.398406374502,1.66666666667,0,New York,NY
ZooKeeper,0,0,2.5,0,New York,NY
