Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,40.7766990291,37.323943662,50,40.2985074627,Newark,NJ
Excel,38.3495145631,9.15492957746,5.1724137931,3.73134328358,Newark,NJ
Tableau,13.3495145631,5.6338028169,14.6551724138,5.22388059701,Newark,NJ
R,13.1067961165,61.9718309859,16.3793103448,14.9253731343,Newark,NJ
Python,8.98058252427,56.6901408451,18.1034482759,43.2835820896,Newark,NJ
SAS,8.49514563107,16.1971830986,8.62068965517,1.49253731343,Newark,NJ
Hadoop,6.31067961165,33.4507042254,25,47.0149253731,Newark,NJ
JavaScript,5.33980582524,4.57746478873,7.75862068966,8.9552238806,Newark,NJ
SPSS,4.85436893204,5.28169014085,0.862068965517,0,Newark,NJ
Spark,2.91262135922,11.6197183099,14.6551724138,34.328358209,Newark,NJ
Java,2.66990291262,21.4788732394,24.1379310345,45.5223880597,Newark,NJ
Hive,2.18446601942,14.7887323944,13.7931034483,24.6268656716,Newark,NJ
Ruby,1.94174757282,2.46478873239,1.72413793103,3.73134328358,Newark,NJ
Matlab,1.45631067961,17.2535211268,0.862068965517,0,Newark,NJ
Scala,1.45631067961,7.74647887324,6.89655172414,19.4029850746,Newark,NJ
Pig,1.21359223301,8.80281690141,10.3448275862,14.1791044776,Newark,NJ
Perl,0.970873786408,5.28169014085,8.62068965517,5.97014925373,Newark,NJ
D3,0.970873786408,1.76056338028,0.862068965517,0,Newark,NJ
C++,0.728155339806,11.9718309859,3.44827586207,10.447761194,Newark,NJ
MapReduce,0.728155339806,5.98591549296,4.31034482759,14.1791044776,Newark,NJ
NoSQL,0.485436893204,9.15492957746,18.9655172414,26.1194029851,Newark,NJ
Oozie,0.242718446602,0,1.72413793103,0,Newark,NJ
Flume,0.242718446602,0,3.44827586207,1.49253731343,Newark,NJ
HBase,0.242718446602,1.76056338028,12.0689655172,13.4328358209,Newark,NJ
MongoDB,0.242718446602,6.33802816901,6.03448275862,17.1641791045,Newark,NJ
Cassandra,0.242718446602,0.352112676056,9.48275862069,13.4328358209,Newark,NJ
Mahout,0,1.40845070423,4.31034482759,5.22388059701,Newark,NJ
D3.js,0,1.05633802817,0,0,Newark,NJ
ZooKeeper,0,0,1.72413793103,0,Newark,NJ
Shark,0,0,0,1.49253731343,Newark,NJ
