Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,37.5510204082,32.2222222222,40,36.5853658537,Oakland,CA
Excel,32.6530612245,5.18518518519,6.66666666667,5.48780487805,Oakland,CA
R,17.9591836735,40,8.88888888889,10.9756097561,Oakland,CA
Tableau,16.7346938776,5.18518518519,6.66666666667,12.1951219512,Oakland,CA
Python,15.9183673469,48.1481481481,15.5555555556,48.7804878049,Oakland,CA
SAS,11.4285714286,11.8518518519,0,1.82926829268,Oakland,CA
Java,6.9387755102,27.037037037,24.4444444444,45.1219512195,Oakland,CA
Hadoop,6.12244897959,34.4444444444,28.8888888889,42.6829268293,Oakland,CA
Perl,4.48979591837,3.7037037037,2.22222222222,10.3658536585,Oakland,CA
JavaScript,4.08163265306,9.62962962963,8.88888888889,8.53658536585,Oakland,CA
Hive,4.08163265306,21.4814814815,20,26.2195121951,Oakland,CA
Matlab,3.26530612245,11.4814814815,0,1.82926829268,Oakland,CA
SPSS,2.85714285714,3.7037037037,0,1.21951219512,Oakland,CA
Spark,2.44897959184,27.7777777778,13.3333333333,37.8048780488,Oakland,CA
MongoDB,2.04081632653,0.740740740741,8.88888888889,12.1951219512,Oakland,CA
Pig,1.63265306122,9.62962962963,15.5555555556,15.243902439,Oakland,CA
NoSQL,1.63265306122,5.92592592593,22.2222222222,22.5609756098,Oakland,CA
C++,1.22448979592,8.14814814815,2.22222222222,6.70731707317,Oakland,CA
Ruby,1.22448979592,7.40740740741,4.44444444444,16.4634146341,Oakland,CA
Scala,0.408163265306,8.51851851852,2.22222222222,24.3902439024,Oakland,CA
MapReduce,0,10.7407407407,4.44444444444,15.243902439,Oakland,CA
HBase,0,9.62962962963,13.3333333333,15.8536585366,Oakland,CA
Cassandra,0,4.44444444444,8.88888888889,12.1951219512,Oakland,CA
Oozie,0,3.33333333333,6.66666666667,5.48780487805,Oakland,CA
Mahout,0,2.59259259259,4.44444444444,0.609756097561,Oakland,CA
D3,0,2.59259259259,0,1.21951219512,Oakland,CA
ZooKeeper,0,2.22222222222,6.66666666667,7.92682926829,Oakland,CA
Flume,0,1.48148148148,6.66666666667,2.43902439024,Oakland,CA
D3.js,0,1.11111111111,0,0.609756097561,Oakland,CA
Shark,0,0.37037037037,0,1.21951219512,Oakland,CA
