Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Excel,38.7755102041,12.9032258065,6.66666666667,11.1111111111,Philadelphia,PA
SQL,30.612244898,35.4838709677,53.3333333333,77.7777777778,Philadelphia,PA
SAS,14.2857142857,35.4838709677,6.66666666667,11.1111111111,Philadelphia,PA
Hadoop,8.16326530612,38.7096774194,6.66666666667,66.6666666667,Philadelphia,PA
Tableau,8.16326530612,3.22580645161,6.66666666667,11.1111111111,Philadelphia,PA
R,6.12244897959,51.6129032258,13.3333333333,11.1111111111,Philadelphia,PA
Python,5.10204081633,38.7096774194,6.66666666667,44.4444444444,Philadelphia,PA
Hive,4.08163265306,9.67741935484,6.66666666667,44.4444444444,Philadelphia,PA
SPSS,4.08163265306,3.22580645161,0,0,Philadelphia,PA
JavaScript,3.0612244898,9.67741935484,13.3333333333,11.1111111111,Philadelphia,PA
NoSQL,1.02040816327,6.45161290323,0,11.1111111111,Philadelphia,PA
Spark,1.02040816327,9.67741935484,6.66666666667,55.5555555556,Philadelphia,PA
MapReduce,0,25.8064516129,6.66666666667,55.5555555556,Philadelphia,PA
Java,0,16.1290322581,20,66.6666666667,Philadelphia,PA
Pig,0,16.1290322581,6.66666666667,44.4444444444,Philadelphia,PA
Matlab,0,16.1290322581,0,0,Philadelphia,PA
MongoDB,0,12.9032258065,0,0,Philadelphia,PA
Ruby,0,9.67741935484,0,22.2222222222,Philadelphia,PA
ZooKeeper,0,6.45161290323,6.66666666667,22.2222222222,Philadelphia,PA
HBase,0,6.45161290323,6.66666666667,22.2222222222,Philadelphia,PA
Perl,0,6.45161290323,0,22.2222222222,Philadelphia,PA
C++,0,3.22580645161,0,0,Philadelphia,PA
Flume,0,3.22580645161,0,0,Philadelphia,PA
D3,0,3.22580645161,0,0,Philadelphia,PA
Mahout,0,0,6.66666666667,22.2222222222,Philadelphia,PA
Oozie,0,0,6.66666666667,0,Philadelphia,PA
Cassandra,0,0,0,22.2222222222,Philadelphia,PA
Shark,0,0,0,11.1111111111,Philadelphia,PA
Scala,0,0,0,11.1111111111,Philadelphia,PA
