Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,34.0909090909,0,50,0,Phoenix,AZ
Excel,29.5454545455,0,0,33.3333333333,Phoenix,AZ
Tableau,11.3636363636,40,50,0,Phoenix,AZ
SAS,9.09090909091,60,25,0,Phoenix,AZ
R,6.81818181818,60,0,0,Phoenix,AZ
Java,4.54545454545,40,50,66.6666666667,Phoenix,AZ
JavaScript,4.54545454545,0,0,0,Phoenix,AZ
SPSS,2.27272727273,20,0,0,Phoenix,AZ
Python,0,60,0,0,Phoenix,AZ
Hadoop,0,60,50,66.6666666667,Phoenix,AZ
Spark,0,40,0,66.6666666667,Phoenix,AZ
Perl,0,20,0,0,Phoenix,AZ
HBase,0,20,0,66.6666666667,Phoenix,AZ
Hive,0,0,25,33.3333333333,Phoenix,AZ
Pig,0,0,25,33.3333333333,Phoenix,AZ
Cassandra,0,0,25,66.6666666667,Phoenix,AZ
Flume,0,0,0,33.3333333333,Phoenix,AZ
Shark,0,0,0,33.3333333333,Phoenix,AZ
MapReduce,0,0,0,33.3333333333,Phoenix,AZ
