Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,43.75,61.5384615385,35,40,Plano,TX
Excel,40.1785714286,19.2307692308,0,30,Plano,TX
SAS,16.0714285714,34.6153846154,0,0,Plano,TX
Tableau,14.2857142857,23.0769230769,5,20,Plano,TX
R,14.2857142857,61.5384615385,10,10,Plano,TX
Hadoop,11.6071428571,38.4615384615,50,60,Plano,TX
Python,8.92857142857,46.1538461538,15,30,Plano,TX
JavaScript,8.03571428571,0,0,20,Plano,TX
Java,8.03571428571,30.7692307692,50,30,Plano,TX
Pig,7.14285714286,19.2307692308,20,20,Plano,TX
Hive,7.14285714286,38.4615384615,25,30,Plano,TX
SPSS,5.35714285714,23.0769230769,0,0,Plano,TX
Spark,3.57142857143,7.69230769231,25,40,Plano,TX
MongoDB,1.78571428571,0,15,0,Plano,TX
Cassandra,1.78571428571,19.2307692308,25,10,Plano,TX
Matlab,0.892857142857,19.2307692308,0,0,Plano,TX
Oozie,0.892857142857,0,15,0,Plano,TX
NoSQL,0.892857142857,23.0769230769,35,0,Plano,TX
Ruby,0.892857142857,7.69230769231,0,0,Plano,TX
MapReduce,0,23.0769230769,15,30,Plano,TX
Scala,0,15.3846153846,20,0,Plano,TX
C++,0,11.5384615385,5,0,Plano,TX
Shark,0,7.69230769231,0,10,Plano,TX
Perl,0,7.69230769231,10,10,Plano,TX
HBase,0,3.84615384615,25,20,Plano,TX
Flume,0,0,15,0,Plano,TX
ZooKeeper,0,0,15,0,Plano,TX
Mahout,0,0,0,10,Plano,TX
