Term,DAnalyst,DScientist,DArchitect,City,State
SQL,46.511627907,10,80,Portland,OR
Excel,30.2325581395,30,0,Portland,OR
Tableau,4.6511627907,20,20,Portland,OR
JavaScript,2.32558139535,0,0,Portland,OR
Java,2.32558139535,20,0,Portland,OR
Pig,0,30,20,Portland,OR
Scala,0,30,0,Portland,OR
Hadoop,0,30,40,Portland,OR
R,0,30,0,Portland,OR
Spark,0,30,40,Portland,OR
Python,0,20,20,Portland,OR
Hive,0,20,20,Portland,OR
SAS,0,20,20,Portland,OR
D3.js,0,20,0,Portland,OR
NoSQL,0,0,60,Portland,OR
MongoDB,0,0,40,Portland,OR
Cassandra,0,0,20,Portland,OR
