Term,DAnalyst,DScientist,DArchitect,City,State
SQL,46.1538461538,25,25,Raleigh,NC
Excel,25.641025641,0,0,Raleigh,NC
SAS,23.0769230769,25,25,Raleigh,NC
Tableau,17.9487179487,25,0,Raleigh,NC
Python,15.3846153846,25,0,Raleigh,NC
Java,10.2564102564,0,25,Raleigh,NC
R,10.2564102564,25,0,Raleigh,NC
Pig,5.12820512821,25,25,Raleigh,NC
Hadoop,5.12820512821,25,50,Raleigh,NC
Hive,5.12820512821,25,50,Raleigh,NC
MongoDB,2.5641025641,0,0,Raleigh,NC
JavaScript,2.5641025641,0,0,Raleigh,NC
C++,2.5641025641,0,0,Raleigh,NC
Matlab,2.5641025641,25,0,Raleigh,NC
Perl,2.5641025641,0,0,Raleigh,NC
NoSQL,0,0,25,Raleigh,NC
MapReduce,0,0,25,Raleigh,NC
Mahout,0,0,25,Raleigh,NC
Spark,0,0,25,Raleigh,NC
HBase,0,0,25,Raleigh,NC
Cassandra,0,0,25,Raleigh,NC
