Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Excel,48.6486486486,0,10,33.3333333333,SanDiego,CA
SQL,27.027027027,23.5294117647,60,33.3333333333,SanDiego,CA
SAS,16.2162162162,17.6470588235,10,0,SanDiego,CA
JavaScript,10.8108108108,0,20,0,SanDiego,CA
Python,8.10810810811,47.0588235294,10,66.6666666667,SanDiego,CA
Hadoop,8.10810810811,47.0588235294,40,66.6666666667,SanDiego,CA
Tableau,8.10810810811,0,20,0,SanDiego,CA
SPSS,8.10810810811,0,0,0,SanDiego,CA
Java,5.40540540541,41.1764705882,20,100,SanDiego,CA
Hive,5.40540540541,23.5294117647,20,66.6666666667,SanDiego,CA
Pig,5.40540540541,11.7647058824,0,0,SanDiego,CA
R,5.40540540541,47.0588235294,0,0,SanDiego,CA
HBase,5.40540540541,5.88235294118,30,0,SanDiego,CA
Cassandra,5.40540540541,5.88235294118,20,0,SanDiego,CA
Perl,2.7027027027,0,0,0,SanDiego,CA
C++,0,29.4117647059,10,100,SanDiego,CA
Matlab,0,23.5294117647,0,0,SanDiego,CA
Spark,0,23.5294117647,40,0,SanDiego,CA
MongoDB,0,5.88235294118,10,66.6666666667,SanDiego,CA
MapReduce,0,5.88235294118,20,66.6666666667,SanDiego,CA
NoSQL,0,5.88235294118,60,0,SanDiego,CA
D3,0,5.88235294118,0,0,SanDiego,CA
Oozie,0,0,20,0,SanDiego,CA
Ruby,0,0,0,66.6666666667,SanDiego,CA
