Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,34.2105263158,35.5731225296,43.2432432432,30.9941520468,San Francisco,CA
Excel,28.0701754386,3.55731225296,8.10810810811,2.92397660819,San Francisco,CA
R,16.2280701754,41.5019762846,10.8108108108,12.2807017544,San Francisco,CA
Tableau,13.5964912281,6.71936758893,8.10810810811,11.6959064327,San Francisco,CA
Python,12.7192982456,49.8023715415,13.5135135135,45.6140350877,San Francisco,CA
SAS,10.0877192982,12.6482213439,0,1.75438596491,San Francisco,CA
Hive,5.26315789474,24.9011857708,13.5135135135,20.4678362573,San Francisco,CA
Hadoop,4.38596491228,36.7588932806,27.027027027,39.7660818713,San Francisco,CA
Matlab,4.38596491228,14.6245059289,0,2.33918128655,San Francisco,CA
NoSQL,3.94736842105,9.8814229249,21.6216216216,15.2046783626,San Francisco,CA
Perl,3.50877192982,3.55731225296,2.7027027027,9.3567251462,San Francisco,CA
JavaScript,3.0701754386,5.92885375494,16.2162162162,9.3567251462,San Francisco,CA
MongoDB,3.0701754386,3.16205533597,13.5135135135,7.60233918129,San Francisco,CA
Java,2.63157894737,29.6442687747,29.7297297297,40.350877193,San Francisco,CA
Pig,2.19298245614,9.09090909091,10.8108108108,11.6959064327,San Francisco,CA
SPSS,2.19298245614,3.55731225296,0,1.16959064327,San Francisco,CA
Spark,2.19298245614,26.4822134387,10.8108108108,36.8421052632,San Francisco,CA
C++,0.438596491228,9.8814229249,2.7027027027,8.18713450292,San Francisco,CA
D3.js,0.438596491228,1.18577075099,0,0,San Francisco,CA
Scala,0,13.4387351779,2.7027027027,21.6374269006,San Francisco,CA
HBase,0,9.48616600791,8.10810810811,9.3567251462,San Francisco,CA
MapReduce,0,8.69565217391,5.40540540541,13.4502923977,San Francisco,CA
Ruby,0,5.92885375494,5.40540540541,17.5438596491,San Francisco,CA
Cassandra,0,5.13833992095,10.8108108108,13.4502923977,San Francisco,CA
Oozie,0,3.55731225296,0,3.50877192982,San Francisco,CA
Mahout,0,3.16205533597,0,0.584795321637,San Francisco,CA
D3,0,2.37154150198,0,0.584795321637,San Francisco,CA
ZooKeeper,0,1.97628458498,0,5.26315789474,San Francisco,CA
Flume,0,1.97628458498,2.7027027027,1.16959064327,San Francisco,CA
