Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,42.6356589147,27.4611398964,50,26.7326732673,San Jose,CA
Excel,27.9069767442,5.18134715026,5.55555555556,2.9702970297,San Jose,CA
R,21.7054263566,43.0051813472,13.8888888889,15.8415841584,San Jose,CA
Python,20.1550387597,46.6321243523,22.2222222222,38.6138613861,San Jose,CA
SAS,14.7286821705,7.25388601036,2.77777777778,0,San Jose,CA
Tableau,13.1782945736,8.29015544041,11.1111111111,4.9504950495,San Jose,CA
JavaScript,11.6279069767,12.4352331606,8.33333333333,7.92079207921,San Jose,CA
Java,8.52713178295,31.0880829016,33.3333333333,48.5148514851,San Jose,CA
Hadoop,7.7519379845,30.0518134715,52.7777777778,58.4158415842,San Jose,CA
SPSS,7.7519379845,3.10880829016,0,0,San Jose,CA
Matlab,5.42635658915,12.9533678756,0,5.94059405941,San Jose,CA
C++,3.87596899225,15.0259067358,13.8888888889,10.8910891089,San Jose,CA
Spark,3.1007751938,17.0984455959,30.5555555556,46.5346534653,San Jose,CA
NoSQL,3.1007751938,7.25388601036,22.2222222222,10.8910891089,San Jose,CA
MongoDB,2.32558139535,4.14507772021,8.33333333333,0.990099009901,San Jose,CA
Perl,1.5503875969,4.66321243523,0,7.92079207921,San Jose,CA
Hive,1.5503875969,17.0984455959,33.3333333333,28.7128712871,San Jose,CA
Scala,1.5503875969,11.3989637306,8.33333333333,21.7821782178,San Jose,CA
Ruby,0.77519379845,2.59067357513,2.77777777778,2.9702970297,San Jose,CA
HBase,0.77519379845,3.62694300518,22.2222222222,21.7821782178,San Jose,CA
MapReduce,0.77519379845,5.18134715026,8.33333333333,17.8217821782,San Jose,CA
Pig,0.77519379845,12.9533678756,25,12.8712871287,San Jose,CA
Cassandra,0.77519379845,3.62694300518,11.1111111111,13.8613861386,San Jose,CA
Oozie,0,2.59067357513,8.33333333333,1.9801980198,San Jose,CA
Flume,0,2.59067357513,19.4444444444,6.93069306931,San Jose,CA
Mahout,0,2.59067357513,5.55555555556,2.9702970297,San Jose,CA
Shark,0,1.03626943005,2.77777777778,0,San Jose,CA
D3,0,1.03626943005,0,0,San Jose,CA
ZooKeeper,0,0,5.55555555556,1.9801980198,San Jose,CA
