Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,44.8275862069,30.7692307692,50,0,Santa Ana,CA
Excel,29.3103448276,7.69230769231,0,100,Santa Ana,CA
SAS,8.62068965517,23.0769230769,0,0,Santa Ana,CA
JavaScript,6.89655172414,0,0,0,Santa Ana,CA
Hadoop,5.1724137931,46.1538461538,25,100,Santa Ana,CA
Tableau,5.1724137931,15.3846153846,0,0,Santa Ana,CA
R,5.1724137931,23.0769230769,0,0,Santa Ana,CA
Java,3.44827586207,23.0769230769,0,100,Santa Ana,CA
Python,3.44827586207,38.4615384615,0,0,Santa Ana,CA
Matlab,3.44827586207,7.69230769231,0,0,Santa Ana,CA
NoSQL,1.72413793103,0,0,0,Santa Ana,CA
Perl,1.72413793103,0,0,0,Santa Ana,CA
Spark,0,30.7692307692,0,100,Santa Ana,CA
Pig,0,23.0769230769,0,100,Santa Ana,CA
Ruby,0,15.3846153846,0,0,Santa Ana,CA
Cassandra,0,15.3846153846,0,100,Santa Ana,CA
Hive,0,15.3846153846,0,100,Santa Ana,CA
Scala,0,15.3846153846,0,0,Santa Ana,CA
Mahout,0,7.69230769231,0,0,Santa Ana,CA
SPSS,0,7.69230769231,0,0,Santa Ana,CA
MapReduce,0,7.69230769231,0,100,Santa Ana,CA
Shark,0,0,0,100,Santa Ana,CA
HBase,0,0,0,100,Santa Ana,CA
