Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,31.8181818182,0,33.3333333333,0,Scottsdale,AZ
Excel,22.7272727273,0,0,25,Scottsdale,AZ
SAS,11.3636363636,33.3333333333,33.3333333333,0,Scottsdale,AZ
Tableau,9.09090909091,33.3333333333,33.3333333333,0,Scottsdale,AZ
JavaScript,6.81818181818,0,0,0,Scottsdale,AZ
R,6.81818181818,50,0,0,Scottsdale,AZ
Java,4.54545454545,33.3333333333,66.6666666667,50,Scottsdale,AZ
SPSS,2.27272727273,16.6666666667,0,0,Scottsdale,AZ
Python,0,33.3333333333,0,0,Scottsdale,AZ
Hadoop,0,33.3333333333,66.6666666667,50,Scottsdale,AZ
Perl,0,16.6666666667,0,0,Scottsdale,AZ
Spark,0,16.6666666667,0,50,Scottsdale,AZ
HBase,0,16.6666666667,0,50,Scottsdale,AZ
Hive,0,0,33.3333333333,25,Scottsdale,AZ
Pig,0,0,33.3333333333,25,Scottsdale,AZ
Cassandra,0,0,33.3333333333,50,Scottsdale,AZ
Flume,0,0,0,25,Scottsdale,AZ
Shark,0,0,0,25,Scottsdale,AZ
MapReduce,0,0,0,25,Scottsdale,AZ
