Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,44.2307692308,34.0425531915,57.1428571429,33.9285714286,Seattle,WA
Excel,28.8461538462,10.6382978723,7.14285714286,8.03571428571,Seattle,WA
R,19.2307692308,36.8794326241,35.7142857143,18.75,Seattle,WA
Tableau,14.4230769231,2.83687943262,0,7.14285714286,Seattle,WA
SAS,11.5384615385,19.1489361702,0,0.892857142857,Seattle,WA
Python,10.5769230769,39.0070921986,35.7142857143,25,Seattle,WA
JavaScript,9.61538461538,2.83687943262,28.5714285714,0,Seattle,WA
SPSS,5.76923076923,3.54609929078,0,0,Seattle,WA
Spark,4.80769230769,13.475177305,21.4285714286,31.25,Seattle,WA
Java,4.80769230769,22.695035461,35.7142857143,30.3571428571,Seattle,WA
Hadoop,3.84615384615,34.7517730496,42.8571428571,40.1785714286,Seattle,WA
MapReduce,2.88461538462,10.6382978723,14.2857142857,8.03571428571,Seattle,WA
Matlab,2.88461538462,13.475177305,0,0.892857142857,Seattle,WA
D3,1.92307692308,0,0,0,Seattle,WA
Shark,1.92307692308,0,0,0.892857142857,Seattle,WA
Cassandra,1.92307692308,0.709219858156,14.2857142857,6.25,Seattle,WA
Hive,0.961538461538,17.7304964539,21.4285714286,25.8928571429,Seattle,WA
Perl,0.961538461538,7.09219858156,14.2857142857,0.892857142857,Seattle,WA
Ruby,0.961538461538,5.67375886525,0,13.3928571429,Seattle,WA
NoSQL,0.961538461538,9.92907801418,28.5714285714,15.1785714286,Seattle,WA
Pig,0,14.8936170213,21.4285714286,14.2857142857,Seattle,WA
C++,0,13.475177305,0,1.78571428571,Seattle,WA
HBase,0,8.51063829787,14.2857142857,14.2857142857,Seattle,WA
Scala,0,6.3829787234,35.7142857143,13.3928571429,Seattle,WA
MongoDB,0,2.83687943262,0,7.14285714286,Seattle,WA
Mahout,0,0.709219858156,0,0.892857142857,Seattle,WA
Flume,0,0,14.2857142857,5.35714285714,Seattle,WA
Oozie,0,0,0,5.35714285714,Seattle,WA
