Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,48.1481481481,30.4347826087,71.4285714286,100,St. Louis,MO
Excel,33.3333333333,4.34782608696,0,0,St. Louis,MO
Java,9.25925925926,17.3913043478,42.8571428571,100,St. Louis,MO
Tableau,5.55555555556,0,0,0,St. Louis,MO
SPSS,5.55555555556,4.34782608696,0,0,St. Louis,MO
JavaScript,3.7037037037,0,0,0,St. Louis,MO
R,3.7037037037,56.5217391304,0,0,St. Louis,MO
Python,1.85185185185,43.4782608696,0,0,St. Louis,MO
Hadoop,1.85185185185,21.7391304348,42.8571428571,100,St. Louis,MO
SAS,1.85185185185,17.3913043478,0,0,St. Louis,MO
Perl,1.85185185185,8.69565217391,0,0,St. Louis,MO
Matlab,0,30.4347826087,0,0,St. Louis,MO
Spark,0,13.0434782609,42.8571428571,0,St. Louis,MO
Cassandra,0,8.69565217391,0,0,St. Louis,MO
MapReduce,0,4.34782608696,0,0,St. Louis,MO
HBase,0,4.34782608696,42.8571428571,100,St. Louis,MO
Pig,0,4.34782608696,42.8571428571,100,St. Louis,MO
C++,0,4.34782608696,0,0,St. Louis,MO
MongoDB,0,4.34782608696,0,0,St. Louis,MO
Scala,0,4.34782608696,42.8571428571,100,St. Louis,MO
NoSQL,0,4.34782608696,42.8571428571,100,St. Louis,MO
Hive,0,4.34782608696,42.8571428571,100,St. Louis,MO
Flume,0,0,42.8571428571,100,St. Louis,MO
ZooKeeper,0,0,42.8571428571,100,St. Louis,MO
Oozie,0,0,42.8571428571,100,St. Louis,MO
