Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
SQL,35.1351351351,50,40.9090909091,0,St. Paul,MN
Excel,24.3243243243,0,0,100,St. Paul,MN
SAS,12.1621621622,50,0,0,St. Paul,MN
R,9.45945945946,75,4.54545454545,0,St. Paul,MN
Java,5.40540540541,25,40.9090909091,100,St. Paul,MN
Python,4.05405405405,25,13.6363636364,0,St. Paul,MN
JavaScript,2.7027027027,25,4.54545454545,0,St. Paul,MN
Tableau,1.35135135135,25,4.54545454545,0,St. Paul,MN
Hadoop,1.35135135135,50,31.8181818182,100,St. Paul,MN
Mahout,1.35135135135,0,0,0,St. Paul,MN
MongoDB,0,25,9.09090909091,0,St. Paul,MN
C++,0,25,0,0,St. Paul,MN
Spark,0,25,0,100,St. Paul,MN
SPSS,0,25,0,0,St. Paul,MN
D3,0,25,0,0,St. Paul,MN
HBase,0,0,18.1818181818,100,St. Paul,MN
NoSQL,0,0,13.6363636364,0,St. Paul,MN
Hive,0,0,13.6363636364,100,St. Paul,MN
Pig,0,0,13.6363636364,100,St. Paul,MN
Cassandra,0,0,13.6363636364,100,St. Paul,MN
Ruby,0,0,9.09090909091,0,St. Paul,MN
Shark,0,0,0,100,St. Paul,MN
MapReduce,0,0,0,100,St. Paul,MN
