Term,DAnalyst,DScientist,DArchitect,City,State
Excel,40,66.6666666667,0,St.Petersburg,FL
SQL,38,66.6666666667,66.6666666667,St.Petersburg,FL
JavaScript,14,0,0,St.Petersburg,FL
SAS,12,100,0,St.Petersburg,FL
Tableau,8,33.3333333333,16.6666666667,St.Petersburg,FL
R,6,100,0,St.Petersburg,FL
SPSS,4,66.6666666667,0,St.Petersburg,FL
Java,2,0,16.6666666667,St.Petersburg,FL
Python,2,66.6666666667,0,St.Petersburg,FL
Perl,2,0,0,St.Petersburg,FL
Hadoop,0,33.3333333333,16.6666666667,St.Petersburg,FL
Matlab,0,33.3333333333,0,St.Petersburg,FL
Spark,0,33.3333333333,0,St.Petersburg,FL
NoSQL,0,0,33.3333333333,St.Petersburg,FL
Hive,0,0,16.6666666667,St.Petersburg,FL
Pig,0,0,16.6666666667,St.Petersburg,FL
Oozie,0,0,16.6666666667,St.Petersburg,FL
Ruby,0,0,16.6666666667,St.Petersburg,FL
