Term,DAnalyst,DScientist,DArchitect,City,State
Excel,41.1764705882,66.6666666667,0,Tampa,FL
SQL,33.3333333333,100,63.6363636364,Tampa,FL
JavaScript,19.6078431373,33.3333333333,0,Tampa,FL
SAS,11.7647058824,100,0,Tampa,FL
R,9.80392156863,100,0,Tampa,FL
Tableau,5.88235294118,66.6666666667,9.09090909091,Tampa,FL
SPSS,5.88235294118,33.3333333333,0,Tampa,FL
Python,3.92156862745,66.6666666667,0,Tampa,FL
Java,1.96078431373,33.3333333333,18.1818181818,Tampa,FL
Perl,1.96078431373,33.3333333333,0,Tampa,FL
Matlab,1.96078431373,33.3333333333,0,Tampa,FL
Hadoop,0,33.3333333333,18.1818181818,Tampa,FL
Hive,0,33.3333333333,18.1818181818,Tampa,FL
NoSQL,0,0,36.3636363636,Tampa,FL
Pig,0,0,18.1818181818,Tampa,FL
Oozie,0,0,18.1818181818,Tampa,FL
Ruby,0,0,18.1818181818,Tampa,FL
