Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Excel,41.7682926829,4.7619047619,14.953271028,9.45945945946,Washington,DC
SQL,39.3292682927,26.455026455,42.9906542056,35.1351351351,Washington,DC
R,13.7195121951,34.3915343915,5.60747663551,8.10810810811,Washington,DC
Tableau,13.4146341463,6.34920634921,3.73831775701,2.7027027027,Washington,DC
SAS,11.5853658537,20.6349206349,1.8691588785,2.7027027027,Washington,DC
Python,10.6707317073,33.8624338624,5.60747663551,43.2432432432,Washington,DC
JavaScript,7.62195121951,23.2804232804,10.2803738318,17.5675675676,Washington,DC
Java,6.09756097561,23.2804232804,21.4953271028,47.2972972973,Washington,DC
SPSS,4.87804878049,9.52380952381,0.934579439252,1.35135135135,Washington,DC
Ruby,3.96341463415,8.46560846561,2.80373831776,13.5135135135,Washington,DC
Cassandra,3.65853658537,2.1164021164,1.8691588785,20.2702702703,Washington,DC
Hadoop,3.65853658537,23.2804232804,19.6261682243,45.9459459459,Washington,DC
Perl,3.35365853659,5.82010582011,9.34579439252,18.9189189189,Washington,DC
D3,3.35365853659,1.0582010582,0,0,Washington,DC
C++,2.74390243902,8.99470899471,1.8691588785,14.8648648649,Washington,DC
D3.js,2.74390243902,1.0582010582,0.934579439252,0,Washington,DC
Hive,2.13414634146,4.2328042328,8.41121495327,17.5675675676,Washington,DC
Matlab,1.82926829268,9.52380952381,0,1.35135135135,Washington,DC
NoSQL,1.5243902439,5.29100529101,10.2803738318,24.3243243243,Washington,DC
MongoDB,1.21951219512,7.93650793651,3.73831775701,24.3243243243,Washington,DC
MapReduce,1.21951219512,5.29100529101,6.54205607477,16.2162162162,Washington,DC
Pig,0.914634146341,5.29100529101,2.80373831776,5.40540540541,Washington,DC
Oozie,0.30487804878,0,0,0,Washington,DC
Flume,0.30487804878,0.529100529101,2.80373831776,1.35135135135,Washington,DC
HBase,0.30487804878,7.40740740741,3.73831775701,17.5675675676,Washington,DC
Scala,0.30487804878,2.1164021164,1.8691588785,14.8648648649,Washington,DC
Spark,0.30487804878,11.1111111111,4.67289719626,21.6216216216,Washington,DC
Mahout,0,4.7619047619,0,0,Washington,DC
ZooKeeper,0,0,0,8.10810810811,Washington,DC
