Term,DAnalyst,DScientist,DArchitect,DEngineer,City,State
Shark,0,0,0,25,Scottsdale,AZ
Flume,0,0,0,25,Scottsdale,AZ
HBase,0,16.6666666667,0,50,Scottsdale,AZ
SPSS,2.27272727273,16.6666666667,0,0,Scottsdale,AZ
Java,4.54545454545,33.3333333333,66.6666666667,50,Scottsdale,AZ
JavaScript,6.81818181818,0,0,0,Scottsdale,AZ
Matlab,0,30.4347826087,0,0,St. Louis,MO
Pig,0,0,25,33.3333333333,Phoenix,AZ
HBase,0,20,0,66.6666666667,Phoenix,AZ
Spark,0,40,0,66.6666666667,Phoenix,AZ
Hadoop,0,60,50,66.6666666667,Phoenix,AZ
SPSS,2.27272727273,20,0,0,Phoenix,AZ
Java,4.54545454545,40,50,66.6666666667,Phoenix,AZ
R,6.81818181818,60,0,0,Phoenix,AZ
SAS,9.09090909091,60,25,0,Phoenix,AZ
Tableau,11.3636363636,40,50,0,Phoenix,AZ
HBase,0,0,0,100,Irvine,CA
Hive,0,14.2857142857,0,100,Irvine,CA
Ruby,0,14.2857142857,0,0,Irvine,CA
Pig,0,21.4285714286,0,100,Irvine,CA
Matlab,2.27272727273,7.14285714286,0,0,Irvine,CA
Flume,0,1.48148148148,6.66666666667,2.43902439024,Oakland,CA
R,4.54545454545,21.4285714286,0,0,Irvine,CA
Hadoop,4.54545454545,42.8571428571,33.3333333333,100,Irvine,CA
JavaScript,6.81818181818,0,0,0,Irvine,CA
SAS,9.09090909091,21.4285714286,0,0,Irvine,CA
Pig,2.19298245614,9.09090909091,10.8108108108,11.6959064327,San Francisco,CA
Excel,40.9090909091,7.14285714286,0,100,Irvine,CA
SQL,43.1818181818,35.7142857143,33.3333333333,0,Irvine,CA
HBase,0,20,0,100,Gilbert,AZ
SAS,10.5263157895,40,0,0,Gilbert,AZ
SAS,7.74336283186,16.3346613546,7.5,1.61290322581,New York,NY
Perl,0,20,0,0,Chandler,AZ
Oozie,0,0,42.8571428571,100,St. Louis,MO
Tableau,14.6341463415,20,0,0,Chandler,AZ
SPSS,9.375,0,0,0,Columbus,OH
Scala,0,15.3846153846,0,0,Santa Ana,CA
C++,2.74390243902,8.99470899471,1.8691588785,14.8648648649,Washington,DC
Mahout,1.51515151515,0,0,0,Minneapolis,MN
R,18.9189189189,43.75,33.3333333333,0,Austin,TX
Python,3.44827586207,38.4615384615,0,0,Santa Ana,CA
Cassandra,0,0,25,66.6666666667,Phoenix,AZ
Hadoop,3.65853658537,23.2804232804,19.6261682243,45.9459459459,Washington,DC
SAS,11.3924050633,16.1290322581,0,0,Baltimore,MD
Cassandra,0,5.88235294118,18.1818181818,28.5714285714,Anaheim,CA
Tableau,4.54545454545,25,4.16666666667,0,Minneapolis,MN
Excel,26.6666666667,0,0,33.3333333333,Glendale,AZ
Hadoop,6.31067961165,33.4507042254,25,47.0149253731,Newark,NJ
Excel,34.2541436464,23.9130434783,11.5384615385,14.6341463415,Los Angeles,CA
SQL,37.5510204082,32.2222222222,40,36.5853658537,Oakland,CA
MapReduce,0,9.67741935484,0,9.09090909091,Denver,CO
MongoDB,2.04081632653,0.740740740741,8.88888888889,12.1951219512,Oakland,CA
Scala,1.10619469027,6.77290836653,2.5,16.1290322581,New York,NY
Python,7.29927007299,50,6.3829787234,40,Chicago,IL
D3.js,0,3.22580645161,0,0,Baltimore,MD
SPSS,5.76923076923,25.9259259259,0,0,Garland,TX
D3,0,13.3333333333,0,0,Boulder,CO
NoSQL,1.63265306122,5.92592592593,22.2222222222,22.5609756098,Oakland,CA
MapReduce,0,0,0,50,Chandler,AZ
Hive,0.729927007299,7.69230769231,6.3829787234,33.3333333333,Chicago,IL
Hive,4.08163265306,9.67741935484,6.66666666667,44.4444444444,Philadelphia,PA
Excel,29.3103448276,7.69230769231,0,100,Santa Ana,CA
Oozie,0.689655172414,0,6.06060606061,0,Irving,TX
Mahout,0,0,0,10,Plano,TX
NoSQL,2.27272727273,0,0,0,Irvine,CA
Python,9.07079646018,50.1992031873,19.1666666667,45.1612903226,New York,NY
D3,0,6.66666666667,0,0,Aurora,CO
Ruby,0,6.25,0,5,Austin,TX
JavaScript,3.0612244898,9.67741935484,13.3333333333,11.1111111111,Philadelphia,PA
Cassandra,0.961538461538,25.9259259259,27.7777777778,10,Garland,TX
SPSS,0,25,0,0,Minneapolis,MN
Hadoop,3.31491712707,26.0869565217,26.9230769231,58.5365853659,Los Angeles,CA
