Term,NumPostings
SQL,47.4803149606
Hadoop,36.5354330709
Python,30.6299212598
Java,28.6614173228
Spark,20.7874015748
Hive,17.7952755906
NoSQL,12.9921259843
HBase,11.968503937
Pig,11.1023622047
Scala,11.0236220472
MapReduce,9.6062992126
Cassandra,9.52755905512
C++,9.44881889764
R,9.13385826772
Excel,6.92913385827
JavaScript,6.77165354331
Perl,6.29921259843
Ruby,5.66929133858
Tableau,5.66929133858
MongoDB,5.43307086614
SAS,3.07086614173
Flume,2.20472440945
Oozie,1.96850393701
SPSS,1.73228346457
Matlab,1.65354330709
ZooKeeper,1.65354330709
Mahout,1.57480314961
D3.js,0.393700787402
Shark,0.157480314961
D3,0.0787401574803
