"City, State",DAst_num,DS_num,DAr_num,DE_num
"New York, NY",616,344,165,208
"Los Angeles, CA",236,93,59,72
"Chicago, IL",210,125,88,70
"Philadelphia, PA",171,60,32,25
"Dallas, TX",200,55,56,26
"San Jose, CA",221,288,71,237
"Austin, TX",71,37,21,30
"San Francisco, CA",321,366,79,248
"Boston, MA",345,177,64,71
"Seattle, WA",166,223,30,143
"Denver, CO",101,51,23,24
"Washington, DC",508,277,172,102
"Baltimore, MD",101,46,34,17
"Long Beach, CA",227,97,60,65
"Atlanta, GA",228,55,40,36
"Oakland, CA",354,372,87,253
"Minneapolis, MN",134,20,46,12
"Arlington, TX",173,49,51,15
"Anaheim, CA",204,61,48,35
"Aurora, CO",91,45,22,21
"Santa Ana, CA",100,27,20,14
"St. Louis, MO",98,50,18,11
"St. Paul, MN",133,20,46,12
"Newark, NJ",626,387,177,220
"Plano, TX",186,53,44,26
"Jersey City , NJ",620,378,178,218
"Garland, TX",187,53,44,26
"Irving, TX",226,55,63,25
"Fremont, CA",343,335,94,269
"Boulder, CO",73,43,15,18


